seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2916	rna-NM_141661.2	CG8312
ref::NT_033777.3	0	2916	rna-NM_001275498.1	CG8312
ref::NT_033777.3	0	2916	rna-NM_001275499.1	CG8312
ref::NT_033777.3	787	2916	rna-NM_176438.2	CG8312
ref::NT_033777.3	3000	4319	rna-NM_141662.3	CG9427
ref::NT_033777.3	3000	4773	rna-NM_001275500.1	CG9427
ref::NT_033777.3	5164	6519	rna-NM_141663.4	CG8319
ref::NT_033777.3	6534	8694	rna-NM_001275501.1	Calr
ref::NT_033777.3	6781	8694	rna-NM_079569.5	Calr
ref::NT_033777.3	8098	8283	rna-NR_163208.1	sisRNA:CR46357
ref::NT_033777.3	9484	11516	rna-NM_169298.3	SpdS
ref::NT_033777.3	9514	11030	rna-NM_001260076.2	SpdS
ref::NT_033777.3	9514	11030	rna-NM_141664.5	SpdS
ref::NT_033777.3	9878	10919	rna-NR_125123.1	asRNA:CR45053
ref::NT_033777.3	9878	10919	rna-NR_125124.1	asRNA:CR45053
ref::NT_033777.3	11202	15454	rna-NM_169299.2	Scm
ref::NT_033777.3	11504	15454	rna-NM_001260077.2	Scm
qry::NC_052530.2	0	2902	rna-XM_015192240.2	LOC6536392
qry::NC_052530.2	0	2902	rna-XM_015192241.2	LOC6536392
qry::NC_052530.2	0	2902	rna-XM_039376077.1	LOC6536392
qry::NC_052530.2	0	2902	rna-XM_002096938.3	LOC6536392
qry::NC_052530.2	3000	4466	rna-XM_002096939.4	LOC6536393
qry::NC_052530.2	3000	4992	rna-XM_015192242.3	LOC6536393
qry::NC_052530.2	5299	6668	rna-XM_039376081.2	LOC6536394
qry::NC_052530.2	5300	6668	rna-XM_043207142.1	LOC6536394
qry::NC_052530.2	6948	8868	rna-XM_002096941.3	LOC6536395
qry::NC_052530.2	9677	11179	rna-XM_002096942.4	LOC6536396
qry::NC_052530.2	9728	11179	rna-XM_039376083.2	LOC6536396
qry::NC_052530.2	11365	15604	rna-XM_002096943.4	LOC6536397
