seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1371	rna-NM_001144653.3	CG31036
ref::NT_033777.3	0	1371	rna-NM_170450.2	CG31036
ref::NT_033777.3	1470	2825	rna-NM_079828.3	Capa
ref::NT_033777.3	3000	8768	rna-NM_001276161.1	trp
ref::NT_033777.3	3000	8768	rna-NM_057420.4	trp
ref::NT_033777.3	10695	11531	rna-NM_170451.3	Jon99Ciii
ref::NT_033777.3	10695	11934	rna-NM_001300669.1	Jon99Ciii
ref::NT_033777.3	12233	13094	rna-NM_079830.4	Jon99Cii
ref::NT_033777.3	13705	14668	rna-NM_079831.4	Jon99Ci
ref::NT_033777.3	15734	17245	rna-NM_001276162.1	CG15522
ref::NT_033777.3	15734	17245	rna-NM_143492.4	CG15522
ref::NT_033777.3	17180	18865	rna-NM_170452.3	alpha-Man-Ic
ref::NT_033777.3	19030	21536	rna-NM_143493.3	Cog7
qry::NC_052523.2	0	821	rna-XR_001599957.2	LOC6730131
qry::NC_052523.2	0	1366	rna-XM_002105386.4	LOC6730131
qry::NC_052523.2	0	1366	rna-XM_016177812.3	LOC6730131
qry::NC_052523.2	1391	2844	rna-XM_002105387.4	LOC6730132
qry::NC_052523.2	3000	8689	rna-XM_016174305.3	LOC6730133
qry::NC_052523.2	10615	11496	rna-XM_039294466.1	LOC120284928
qry::NC_052523.2	12123	13018	rna-XM_039294465.2	LOC6730135
qry::NC_052523.2	13602	14594	rna-XM_002105391.4	LOC6730136
qry::NC_052523.2	14803	15840	rna-XM_002105392.4	LOC6730137
qry::NC_052523.2	16445	17970	rna-XM_016177813.3	LOC6730138
qry::NC_052523.2	16445	17970	rna-XM_039294468.2	LOC6730138
qry::NC_052523.2	16445	17970	rna-XM_039294469.2	LOC6730138
qry::NC_052523.2	16445	17970	rna-XM_039294470.2	LOC6730138
qry::NC_052523.2	17049	17970	rna-XM_039294467.2	LOC6730138
qry::NC_052523.2	17990	19602	rna-XM_002105394.4	LOC6730139
qry::NC_052523.2	19744	22283	rna-XM_002105395.4	LOC6730140
