GENE	TRANSCRIPT	NS_POLY	S_POLY	NS_FIX	S_FIX	codons	final_NI	alpha	final_FET
CG14476	FBtr0070060	17	42	33	136	924	1.6681	-0.6681	0.1469 
CG11664	FBtr0070163	13	22	55	53	257	0.5694	0.4306	0.1766 
CG3097	FBtr0070836	12	38	15	54	445	1.1368	-0.1368	0.8264 
CG3842	FBtr0070904	21	39	35	62	407	0.9538	0.0462	1.0000 
Hexo2	FBtr0071249	22	83	923	373	626	0.1071	0.8929	0.0000 
Obp8a	FBtr0071307	23	29	13	19	167	1.1592	-0.1592	0.8223 
Idgf4	FBtr0071394	6	81	12	49	442	0.3025	0.6975	0.0232 
CG2111	FBtr0071492	14	63	127	180	932	0.3150	0.685	0.0001 
CG9806	FBtr0071506	39	57	183	183	938	0.6842	0.3158	0.1091 
Treh	FBtr0071540	14	84	32	90	598	0.4687	0.5313	0.0317 
ASPP	FBtr0071623	46	134	60	125	1074	0.7152	0.2848	0.1668 
CG10433	FBtr0071691	10	7	15	7	98	0.6667	0.3333	0.7376 
CG9294	FBtr0071720	345	192	38	61	361	2.8845	-1.8845	0.0000 
Swim	FBtr0071784	8	57	34	40	431	0.1651	0.8349	0.0000 
CG2852	FBtr0071933	4	12	3	19	205	2.1111	-1.1111	0.4250 
CG32833	FBtr0071990	28	39	80	60	268	0.5385	0.4615	0.0528 
HSPC300	FBtr0072194	1	7	0	7	76	0.0000	1	1.0000 
Phm	FBtr0072202	5	33	19	46	365	0.3668	0.6332	0.0902 
CG3640	FBtr0072322	25	17	54	55	296	1.4978	-0.4978	0.2825 
Peb	FBtr0072454	11	9	225	119	430	0.6464	0.3536	0.3454 
PebII	FBtr0072455	1	0	28	16	68	0.0000	1	1.0000 
Acp62F	FBtr0072943	5	13	58	26	123	0.1724	0.8276	0.0024 
CG12093	FBtr0073015	51	47	77	62	417	0.8737	0.1263	0.6915 
dro2	FBtr0073059	6	4	5	12	70	3.6000	-2.6	0.2238 
dro4	FBtr0073061	3	9	12	7	72	0.1944	0.8056	0.0659 
dro5	FBtr0073062	4	5	3	4	69	1.0667	-0.0667	1.0000 
Drs	FBtr0073073	1	3	0	9	70	0.0000	1	0.3077 
dro6	FBtr0073080	3	7	5	17	72	1.4571	-0.4571	0.6808 
Drs-l	FBtr0073081	43	15	16	11	70	1.9708	-0.9708	0.2083 
CG10862	FBtr0073139	16	16	174	139	358	0.7989	0.2011	0.5793 
CG1637	FBtr0073406	22	60	24	47	460	0.7181	0.2819	0.3802 
CG1637	FBtr0073407	13	72	30	57	452	0.3431	0.6569	0.0047 
CG32667	FBtr0073474	5	8	17	10	88	0.3676	0.6324	0.1854 
Hsc70-3	FBtr0073608	2	59	3	32	656	0.3616	0.6384	0.3508 
CG11590	FBtr0073899	21	25	55	29	204	0.4429	0.5571	0.0402 
CG9521	FBtr0073985	8	105	94	130	624	0.1054	0.8946	0.0000 
PPYR1	FBtr0074023	32	31	129	55	327	0.4401	0.5599	0.0088 
CG15641	FBtr0074035	8	11	35	22	122	0.4571	0.5429	0.1841 
CG18258	FBtr0074392	27	39	114	68	469	0.4130	0.587	0.0035 
OdsH	FBtr0074461	29	31	253	52	384	0.1923	0.8077	0.0000 
Tsf1	FBtr0074559	28	80	27	83	641	1.0759	-0.0759000000000001	0.8765 
Ggt-1	FBtr0074622	5	79	35	82	579	0.1483	0.8517	0.0000 
