seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	198	rna-NM_141801.3	Arfip
ref::NT_033777.3	325	1262	rna-NM_141802.2	CG17721
ref::NT_033777.3	568	1262	rna-NM_001260111.1	CG17721
ref::NT_033777.3	568	1262	rna-NM_001260112.1	CG17721
ref::NT_033777.3	1471	2809	rna-NM_001300354.1	CG31441
ref::NT_033777.3	1471	2809	rna-NM_169382.2	CG31441
ref::NT_033777.3	3000	5299	rna-NM_001260113.1	CG31388
ref::NT_033777.3	3000	5299	rna-NM_141803.3	CG31388
ref::NT_033777.3	5226	6176	rna-NM_141804.2	scpr-B
ref::NT_033777.3	6368	7305	rna-NM_141805.2	scpr-A
ref::NT_033777.3	7393	9184	rna-NM_001260114.2	CG17734
ref::NT_033777.3	7393	9184	rna-NM_141806.4	CG17734
ref::NT_033777.3	7393	9184	rna-NM_169383.3	CG17734
ref::NT_033777.3	9487	12047	rna-NM_141807.2	CG5214
qry::NC_052530.2	0	57	rna-XM_002097153.3	LOC6536617
qry::NC_052530.2	344	1255	rna-XM_002097154.4	LOC6536618
qry::NC_052530.2	1569	2857	rna-XM_002097155.4	LOC6536619
qry::NC_052530.2	2997	4334	rna-XR_006245216.1	LOC6536620
qry::NC_052530.2	3000	5409	rna-XM_002097156.4	LOC6536620
qry::NC_052530.2	5332	6309	rna-XM_002097157.3	LOC6536621
qry::NC_052530.2	6464	7435	rna-XM_002097158.4	LOC6536622
qry::NC_052530.2	7497	9377	rna-XM_002097159.4	LOC6536623
qry::NC_052530.2	9700	12448	rna-XM_002097160.4	LOC6536624
