seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	7434	rna-NM_079825.2	dmrt99B
ref::NT_033777.3	23687	24087	rna-NR_125292.1	lncRNA:CR45569
ref::NT_033777.3	24914	25413	rna-NM_143455.2	Obp99d
ref::NT_033777.3	25477	25786	rna-NM_001260430.1	Dup99B
ref::NT_033777.3	25477	25786	rna-NM_206582.2	Dup99B
ref::NT_033777.3	26663	27236	rna-NM_143456.3	Obp99b
ref::NT_033777.3	26663	27305	rna-NM_001276149.1	Obp99b
ref::NT_033777.3	29072	32797	rna-NM_143457.2	CG15506
ref::NT_033777.3	30122	31600	rna-NR_133479.1	lncRNA:CR46108
qry::NC_052530.2	0	1031	rna-XM_002098520.3	LOC6538021
qry::NC_052530.2	3000	3580	rna-XM_002098522.3	LOC6538023
qry::NC_052530.2	4612	4924	rna-XM_015193125.3	LOC26535901
qry::NC_052530.2	4926	7495	rna-XM_039375776.1	LOC26536385
qry::NC_052530.2	7709	8052	rna-XM_002098524.4	LOC6538025
qry::NC_052530.2	25304	30241	rna-XM_002098525.3	LOC6538026
