seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2783	rna-NM_001316578.1	MetRS-m
ref::NT_033777.3	0	2783	rna-NM_001275635.2	MetRS-m
ref::NT_033777.3	0	2783	rna-NM_142091.5	MetRS-m
ref::NT_033777.3	3000	4005	rna-NM_142092.2	CG14840
ref::NT_033777.3	4183	5210	rna-NM_142093.1	CG14841
ref::NT_033777.3	5179	6159	rna-NM_142094.2	CG14839
ref::NT_033777.3	6150	29695	rna-NM_057421.3	trx
ref::NT_033777.3	6150	29695	rna-NM_057422.3	trx
ref::NT_033777.3	6150	29695	rna-NM_134281.2	trx
ref::NT_033777.3	6150	29695	rna-NM_134282.2	trx
ref::NT_033777.3	7450	29695	rna-NM_001014621.2	trx
ref::NT_033777.3	7621	8327	rna-NR_133394.1	asRNA:CR46020
ref::NT_033777.3	31021	31457	rna-NR_125161.1	lncRNA:CR45596
ref::NT_033777.3	31863	45068	rna-NM_001300396.1	red
ref::NT_033777.3	31863	45068	rna-NM_142095.4	red
ref::NT_033777.3	32066	45068	rna-NM_001260168.1	red
qry::NC_052523.2	0	648	rna-XM_016175292.3	LOC6728113
qry::NC_052523.2	3000	26892	rna-XM_016176740.3	LOC6728115
qry::NC_052523.2	3000	26892	rna-XM_016176742.3	LOC6728115
qry::NC_052523.2	3001	26892	rna-XM_016176741.3	LOC6728115
qry::NC_052523.2	26661	27794	rna-XM_002103431.4	LOC6728116
qry::NC_052523.2	27825	28774	rna-XM_002103432.4	LOC6728117
qry::NC_052523.2	27837	28777	rna-XM_016176743.3	LOC6728117
qry::NC_052523.2	28966	30021	rna-XM_002103433.4	LOC6728118
qry::NC_052523.2	30186	38466	rna-XM_002103434.4	LOC6728119
