seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	3330	rna-NM_001300128.1	Sfp70A4
ref::NT_037436.4	3126	3330	rna-NM_001169966.1	Sfp70A4
ref::NT_037436.4	3474	4040	rna-NR_124926.1	lncRNA:CR45253
ref::NT_037436.4	4119	4414	rna-NR_124927.1	lncRNA:CR45255
ref::NT_037436.4	4681	5189	rna-NR_124928.1	lncRNA:CR45254
ref::NT_037436.4	5267	5493	rna-NM_001274869.1	CG42481
ref::NT_037436.4	5313	5493	rna-NM_001169967.2	CG42481
ref::NT_037436.4	6311	6622	rna-NM_001259812.1	CG43147
ref::NT_037436.4	6311	6622	rna-NM_001300129.1	CG43147
qry::NC_052522.2	3000	3203	rna-XM_016183671.3	LOC27208050
qry::NC_052522.2	5084	5297	rna-XM_039293374.2	LOC120284748
qry::NC_052522.2	5912	6233	rna-XM_044922918.1	LOC27207608
