seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	1130	rna-NM_001299675.1	hppy
ref::NT_033778.4	0	1130	rna-NM_001299676.1	hppy
ref::NT_033778.4	0	1130	rna-NM_001299677.1	hppy
ref::NT_033778.4	0	1130	rna-NM_137555.3	hppy
ref::NT_033778.4	0	1130	rna-NM_166335.3	hppy
ref::NT_033778.4	1281	2550	rna-NM_137556.4	CG7137
ref::NT_033778.4	3000	17688	rna-NM_001299678.1	cora
ref::NT_033778.4	3000	17688	rna-NM_001299679.1	cora
ref::NT_033778.4	3000	17688	rna-NM_079067.4	cora
ref::NT_033778.4	3000	17688	rna-NM_166336.2	cora
ref::NT_033778.4	3000	17688	rna-NM_166337.2	cora
ref::NT_033778.4	3000	17688	rna-NM_166338.3	cora
ref::NT_033778.4	23332	24854	rna-NM_001299680.1	wbl
ref::NT_033778.4	23698	24854	rna-NM_166339.2	wbl
ref::NT_033778.4	24964	25603	rna-NM_206165.1	CG33454
ref::NT_033778.4	26438	27165	rna-NM_001299681.1	CG33453
ref::NT_033778.4	26438	27165	rna-NM_206166.2	CG33453
qry::NC_052521.2	0	1200	rna-XM_016168495.3	LOC6735223
qry::NC_052521.2	0	1200	rna-XM_016168498.3	LOC6735223
qry::NC_052521.2	0	1200	rna-XM_016168496.3	LOC6735223
qry::NC_052521.2	0	1200	rna-XM_016168497.3	LOC6735223
qry::NC_052521.2	1294	2612	rna-XM_002082161.4	LOC6735224
qry::NC_052521.2	2999	17612	rna-XM_016168499.3	LOC6735225
qry::NC_052521.2	2999	17612	rna-XM_016168500.3	LOC6735225
qry::NC_052521.2	2999	17612	rna-XM_016168501.3	LOC6735225
qry::NC_052521.2	2999	17612	rna-XM_016168503.3	LOC6735225
qry::NC_052521.2	3000	17612	rna-XM_016168504.3	LOC6735225
qry::NC_052521.2	3000	17612	rna-XM_016168505.2	LOC6735225
qry::NC_052521.2	3000	17612	rna-XM_016168506.3	LOC6735225
qry::NC_052521.2	3000	17612	rna-XM_039292412.2	LOC6735225
qry::NC_052521.2	3000	17612	rna-XM_039292413.2	LOC6735225
qry::NC_052521.2	3001	17612	rna-XM_016168502.2	LOC6735225
qry::NC_052521.2	3001	17612	rna-XM_039292414.2	LOC6735225
qry::NC_052521.2	3146	17612	rna-XM_044922673.1	LOC6735225
qry::NC_052521.2	23536	24878	rna-XM_002082163.4	LOC6735226
qry::NC_052521.2	24958	25650	rna-XM_002082164.4	LOC6735227
qry::NC_052521.2	26497	27207	rna-XM_002082165.3	LOC6735228
qry::NC_052521.2	26497	27207	rna-XM_016181583.2	LOC6735228
