seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	166	2920	rna-NM_137806.4	MED16
ref::NT_033778.4	3000	6786	rna-NM_137807.4	Vps35
ref::NT_033778.4	3000	6914	rna-NM_166518.3	Vps35
ref::NT_033778.4	6845	10183	rna-NM_166519.2	Swim
ref::NT_033778.4	6845	19699	rna-NM_137808.3	Swim
ref::NT_033778.4	14297	14402	rna-NR_003825.1	snoRNA:Me18S-C1968
ref::NT_033778.4	18536	20073	rna-NR_124688.1	asRNA:CR45376
ref::NT_033778.4	20722	22621	rna-NM_137809.2	Alp7
ref::NT_033778.4	23033	25015	rna-NM_137810.1	Alp2
ref::NT_033778.4	25492	27793	rna-NM_001299780.1	Alp8
qry::NC_052528.2	195	2827	rna-XM_002092351.4	LOC6531589
qry::NC_052528.2	3000	6816	rna-XM_015195941.3	LOC6531590
qry::NC_052528.2	3169	6816	rna-XM_002092352.4	LOC6531590
qry::NC_052528.2	6874	10255	rna-XM_002092353.3	LOC6531591
qry::NC_052528.2	6874	20541	rna-XM_015195943.3	LOC6531591
qry::NC_052528.2	10350	13359	rna-XR_005560646.1	LOC120321093
qry::NC_052528.2	21713	23639	rna-XM_002092354.3	LOC6531593
qry::NC_052528.2	24039	25970	rna-XM_002092355.4	LOC6531594
