seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	1739	rna-NM_001259020.2	tai
ref::NT_033779.5	0	1739	rna-NM_001201819.2	tai
ref::NT_033779.5	1576	2570	rna-NM_001298846.1	aust
ref::NT_033779.5	1616	2570	rna-NM_135434.2	aust
ref::NT_033779.5	2666	2987	gene-Dmel_CR43734	CR43734
ref::NT_033779.5	3000	4646	rna-NM_135435.5	borr
ref::NT_033779.5	3000	4646	rna-NM_164850.4	borr
ref::NT_033779.5	5604	6382	rna-NM_144378.4	lectin-30A
ref::NT_033779.5	8091	43326	rna-NM_001201820.2	Ggamma30A
ref::NT_033779.5	8091	43326	rna-NM_164851.3	Ggamma30A
ref::NT_033779.5	8091	44792	rna-NM_001298847.1	Ggamma30A
ref::NT_033779.5	8091	44792	rna-NM_080068.4	Ggamma30A
ref::NT_033779.5	8091	47049	rna-NM_001169447.2	Ggamma30A
ref::NT_033779.5	8091	54022	rna-NM_164852.3	Ggamma30A
ref::NT_033779.5	8468	43326	rna-NM_001259021.2	Ggamma30A
ref::NT_033779.5	13348	14332	rna-NR_124159.1	lncRNA:CR45262
ref::NT_033779.5	24030	43326	rna-NM_001169446.3	Ggamma30A
qry::NC_052520.2	0	2129	rna-XM_016179838.3	LOC6731609
qry::NC_052520.2	0	2129	rna-XM_039295195.2	LOC6731609
qry::NC_052520.2	0	2129	rna-XM_039295196.2	LOC6731609
qry::NC_052520.2	1105	2935	rna-XM_002078715.4	LOC6731611
qry::NC_052520.2	3000	5106	rna-XM_016178592.3	LOC6731612
qry::NC_052520.2	3442	5108	rna-XM_039295237.2	LOC6731612
qry::NC_052520.2	6113	6934	rna-XM_002078717.4	LOC6731613
qry::NC_052520.2	8649	43961	rna-XM_016182999.3	LOC123327026
qry::NC_052520.2	9050	43961	rna-XM_039295251.2	LOC123327026
qry::NC_052520.2	43566	47404	rna-XM_044923346.1	LOC27207278
