seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	166	2920	rna-NM_137806.4	MED16
ref::NT_033778.4	3000	6786	rna-NM_137807.4	Vps35
ref::NT_033778.4	3000	6914	rna-NM_166518.3	Vps35
ref::NT_033778.4	6845	10183	rna-NM_166519.2	Swim
ref::NT_033778.4	6845	19699	rna-NM_137808.3	Swim
ref::NT_033778.4	14297	14402	rna-NR_003825.1	snoRNA:Me18S-C1968
ref::NT_033778.4	18536	20073	rna-NR_124688.1	asRNA:CR45376
ref::NT_033778.4	20722	22621	rna-NM_137809.2	Alp7
ref::NT_033778.4	23033	25015	rna-NM_137810.1	Alp2
ref::NT_033778.4	25492	27793	rna-NM_001299780.1	Alp8
qry::NC_052521.2	183	2812	rna-XM_002082555.4	LOC6735673
qry::NC_052521.2	3000	6946	rna-XM_016168726.3	LOC6735674
qry::NC_052521.2	3192	6946	rna-XM_002082556.4	LOC6735674
qry::NC_052521.2	6877	10340	rna-XM_016181385.3	LOC6735675
qry::NC_052521.2	6877	19960	rna-XM_016181386.3	LOC6735675
qry::NC_052521.2	20993	22907	rna-XM_002082558.4	LOC6735678
qry::NC_052521.2	23369	25327	rna-XM_044922366.1	LOC6735679
qry::NC_052521.2	23370	25327	rna-XM_002082559.4	LOC6735679
