seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	889	rna-NM_079044.2	Amy-d
ref::NT_033778.4	930	1543	rna-NM_137347.3	CG15605
ref::NT_033778.4	3000	4854	rna-NM_001299590.1	Cda9
ref::NT_033778.4	3331	4854	rna-NM_137348.4	Cda9
ref::NT_033778.4	5636	6072	rna-NM_001382129.1	CG45273
ref::NT_033778.4	7965	8270	rna-NM_001043089.3	Acp54A1
ref::NT_033778.4	8649	9372	rna-NM_137349.3	CG11400
ref::NT_033778.4	8649	9865	rna-NM_001299591.1	CG11400
ref::NT_033778.4	10115	10845	gene-Dmel_CR44391	CR44391
ref::NT_033778.4	10971	11423	rna-NM_137350.4	Gbp1
ref::NT_033778.4	11760	13351	rna-NM_137351.3	Gbp2
ref::NT_033778.4	11760	14115	rna-NM_001299592.1	Gbp2
qry::NC_052521.2	0	834	rna-XM_039291298.1	LOC6734871
qry::NC_052521.2	911	1488	rna-XM_002081837.4	LOC6734872
qry::NC_052521.2	3000	4781	rna-XM_002081838.4	LOC6734873
qry::NC_052521.2	5268	7622	rna-XM_039291299.2	LOC27208166
qry::NC_052521.2	5268	7622	rna-XM_039291300.2	LOC27208166
qry::NC_052521.2	8794	9103	rna-XM_016182866.2	LOC27207131
qry::NC_052521.2	9388	10796	rna-XM_002081839.4	LOC6734874
qry::NC_052521.2	11255	11893	rna-XM_002081840.4	LOC6734875
qry::NC_052521.2	12225	13804	rna-XM_002081841.4	LOC6734876
