seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	2631	rna-NM_001299448.1	TppII
ref::NT_033778.4	0	2631	rna-NM_057899.3	TppII
ref::NT_033778.4	0	2779	rna-NM_001299447.1	TppII
ref::NT_033778.4	0	3475	rna-NM_165966.2	TppII
ref::NT_033778.4	3000	3983	rna-NM_001103826.2	ND-MWFE
ref::NT_033778.4	3000	4524	rna-NM_001103827.2	ND-MWFE
ref::NT_033778.4	4397	7818	rna-NM_057907.4	Nrk
ref::NT_033778.4	7697	8282	rna-NM_136997.3	CG15870
ref::NT_033778.4	8293	12366	rna-NM_001274011.2	GLaz
ref::NT_033778.4	8388	12366	rna-NM_001274007.2	GLaz
ref::NT_033778.4	8388	12366	rna-NM_001274008.2	GLaz
ref::NT_033778.4	8388	12366	rna-NM_001274009.2	GLaz
ref::NT_033778.4	8388	12366	rna-NM_001274010.2	GLaz
ref::NT_033778.4	8388	12366	rna-NM_079003.5	GLaz
ref::NT_033778.4	12832	15078	rna-NM_165967.4	Spt-I
ref::NT_033778.4	12832	15078	rna-NM_165968.4	Spt-I
ref::NT_033778.4	12834	15079	rna-NR_124538.1	asRNA:CR45142
ref::NT_033778.4	13118	15078	rna-NM_136998.2	Spt-I
qry::NC_052521.2	0	2711	rna-XM_039292497.2	LOC6734263
qry::NC_052521.2	3000	4543	rna-XM_016184421.2	LOC27208869
qry::NC_052521.2	3043	4056	rna-XM_016184420.3	LOC27208869
qry::NC_052521.2	4693	7862	rna-XM_016167968.3	LOC6734264
qry::NC_052521.2	7737	8213	rna-XM_016182495.3	LOC27206688
qry::NC_052521.2	8314	11701	rna-XM_039292510.2	LOC6740609
qry::NC_052521.2	8314	12381	rna-XM_016175023.3	LOC6740609
qry::NC_052521.2	8314	12381	rna-XM_016175024.3	LOC6740609
qry::NC_052521.2	8314	12385	rna-XM_016175022.3	LOC6740609
qry::NC_052521.2	12711	15017	rna-XM_016167969.3	LOC6734265
