seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	767	1207	rna-NM_001298665.1	IM33
ref::NT_033779.5	789	1207	rna-NM_134956.4	IM33
ref::NT_033779.5	1791	2361	rna-NM_134957.3	CG3604
ref::NT_033779.5	1791	2421	rna-NM_001298666.1	CG3604
ref::NT_033779.5	3000	3641	rna-NM_134958.4	CG10031
ref::NT_033779.5	4013	4375	rna-NM_001169392.2	CG42464
ref::NT_033779.5	4744	5207	rna-NM_001169393.2	CG42465
ref::NT_033779.5	5223	5641	rna-NM_001169394.2	Sfp24C1
ref::NT_033779.5	5839	6248	rna-NM_001169395.3	CG42467
ref::NT_033779.5	6375	6797	rna-NM_001258930.2	CG43145
ref::NT_033779.5	7163	7496	rna-NR_124056.1	lncRNA:CR44311
ref::NT_033779.5	8208	8802	rna-NM_134959.2	CG2816
ref::NT_033779.5	8655	10037	rna-NM_164549.2	CG31778
ref::NT_033779.5	8874	10037	rna-NM_001298667.1	CG31778
qry::NC_052520.2	0	237	rna-XM_002078028.4	LOC6730900
qry::NC_052520.2	801	1246	rna-XM_002078029.4	LOC6730901
qry::NC_052520.2	1811	2401	rna-XM_016179046.3	LOC27206523
qry::NC_052520.2	3000	3702	rna-XM_002078031.4	LOC6730903
qry::NC_052520.2	3800	4375	rna-XM_039291152.2	LOC120284246
qry::NC_052520.2	4210	4964	rna-XR_005543464.2	LOC120284247
qry::NC_052520.2	4713	5119	rna-XM_016184099.2	LOC27208531
qry::NC_052520.2	5210	5666	rna-XM_016183957.3	LOC27208373
qry::NC_052520.2	5811	6233	rna-XM_016183592.3	LOC27207967
qry::NC_052520.2	6345	6887	rna-XM_044922339.1	LOC123327044
qry::NC_052520.2	8026	8520	rna-XM_016179489.3	LOC6730904
qry::NC_052520.2	8511	9881	rna-XM_002078033.4	LOC6730905
