seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	1557	2199	rna-NM_001170265.1	CG5024
ref::NT_033777.3	1557	2236	rna-NM_143174.2	CG5024
ref::NT_033777.3	2372	3595	rna-NM_001170266.1	Acam
ref::NT_033777.3	2372	3595	rna-NM_143175.2	CG17770
ref::NT_033777.3	3000	3595	rna-NM_057640.3	Acam
ref::NT_033777.3	5940	7035	rna-NM_143176.2	CG14354
ref::NT_033777.3	14167	15672	rna-NR_125255.1	lncRNA:CR44949
ref::NT_033777.3	19782	20159	rna-NM_079774.4	Mst57Dc
ref::NT_033777.3	20522	20689	rna-NM_001170267.2	Sfp96F
ref::NT_033777.3	21181	21375	rna-NM_079775.5	Mst57Db
ref::NT_033777.3	22036	22360	rna-NM_080167.4	Mst57Da
ref::NT_033777.3	22691	33339	rna-NM_143177.4	alpha4GT2
qry::NC_052523.2	1394	2246	rna-XM_002104935.4	LOC6729665
qry::NC_052523.2	2357	2859	rna-XM_002104936.4	LOC6729666
qry::NC_052523.2	3000	3503	rna-XM_039294912.2	LOC27206484
qry::NC_052523.2	5777	6914	rna-XM_002104938.4	LOC6729668
qry::NC_052523.2	21146	21573	rna-XM_039294857.1	LOC120284972
qry::NC_052523.2	21832	22002	rna-XM_016183586.2	LOC27207962
qry::NC_052523.2	22488	22702	rna-XM_016182685.3	LOC27206907
qry::NC_052523.2	23985	25609	rna-XM_002104941.4	LOC6729671
