seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	1894	2457	gene-Dmel_CR43158	CR43158
ref::NT_033779.5	3000	3597	rna-NM_165333.3	CG31680
ref::NT_033779.5	3796	4501	rna-NM_001169552.1	Sfp38D
ref::NT_033779.5	3796	5095	rna-NM_001273702.1	Sfp38D
ref::NT_033779.5	5185	6123	rna-NM_136197.3	CG17470
ref::NT_033779.5	6230	8336	rna-NM_001273703.1	phr6-4
ref::NT_033779.5	6230	8336	rna-NM_001273704.1	phr6-4
ref::NT_033779.5	6230	8670	rna-NM_057840.5	phr6-4
ref::NT_033779.5	6230	8670	rna-NM_165334.3	phr6-4
ref::NT_033779.5	8701	10260	rna-NM_136198.4	CG2608
ref::NT_033779.5	10412	11727	rna-NR_001676.2	Uhg3
ref::NT_033779.5	10412	11727	rna-NR_033154.1	Uhg3
ref::NT_033779.5	10412	11727	rna-NR_033155.1	Uhg3
ref::NT_033779.5	10696	10770	rna-NR_003781.1	snoRNA:Me28S-C2645a
ref::NT_033779.5	10930	11004	rna-NR_003782.1	snoRNA:Me28S-C2645b
ref::NT_033779.5	11161	11235	rna-NR_003783.1	snoRNA:Me28S-C2645c
qry::NC_052520.2	1928	2574	rna-XM_002080012.3	LOC6732966
qry::NC_052520.2	3000	3686	rna-XM_016184602.3	LOC27209094
qry::NC_052520.2	3860	4554	rna-XM_016184358.3	LOC27208808
qry::NC_052520.2	5272	6210	rna-XM_002080014.2	LOC6732968
qry::NC_052520.2	6302	7952	rna-XM_016178029.2	LOC6732969
qry::NC_052520.2	6302	8414	rna-XM_002080015.4	LOC6732969
qry::NC_052520.2	8737	13221	rna-XM_016180446.3	LOC27206567
qry::NC_052520.2	10752	10826	rna-XR_005543504.1	LOC120284271
qry::NC_052520.2	10995	11069	rna-XR_005543505.1	LOC120284272
qry::NC_052520.2	11238	11312	rna-XR_005543509.1	LOC120284276
