seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2747	rna-NM_001300046.1	syd
ref::NT_037436.4	0	779	rna-NM_001169903.1	syd
ref::NT_037436.4	0	779	rna-NM_168245.3	syd
ref::NT_037436.4	0	2747	rna-NM_001169902.2	syd
ref::NT_037436.4	0	2747	rna-NM_001274619.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274620.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274621.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274622.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274623.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274624.1	syd
ref::NT_037436.4	0	2747	rna-NM_079913.3	syd
ref::NT_037436.4	3000	3885	rna-NM_139906.3	Srp9
ref::NT_037436.4	12340	12949	rna-NM_001274625.1	CG43880
ref::NT_037436.4	14813	18190	rna-NM_139907.3	exex
ref::NT_037436.4	37215	39076	rna-NM_079242.3	RNaseX25
ref::NT_037436.4	39076	41618	rna-NM_139908.3	CG8042
ref::NT_037436.4	42065	42781	rna-NM_139909.3	HP4
ref::NT_037436.4	42065	42781	rna-NM_168247.3	HP4
ref::NT_037436.4	43033	44476	rna-NM_139910.4	CG8209
ref::NT_037436.4	44432	45277	rna-NM_139911.3	Pop4
ref::NT_037436.4	45673	116960	rna-NM_001370048.1	nmo
ref::NT_037436.4	45673	116960	rna-NM_079243.4	nmo
ref::NT_037436.4	45673	116960	rna-NM_168248.3	nmo
ref::NT_037436.4	45673	116960	rna-NM_168249.3	nmo
ref::NT_037436.4	45673	116960	rna-NM_168250.3	nmo
ref::NT_037436.4	45673	116960	rna-NM_168252.3	nmo
ref::NT_037436.4	45673	119296	rna-NM_168251.3	nmo
ref::NT_037436.4	45673	120774	rna-NM_001274626.1	nmo
qry::NC_052522.2	0	2762	rna-XM_016169984.3	LOC6737189
qry::NC_052522.2	0	2762	rna-XM_016169986.3	LOC6737189
qry::NC_052522.2	0	2763	rna-XM_002083999.4	LOC6737189
qry::NC_052522.2	0	2763	rna-XM_016169982.3	LOC6737189
qry::NC_052522.2	0	2763	rna-XM_016169983.3	LOC6737189
qry::NC_052522.2	0	2763	rna-XM_016169988.3	LOC6737189
qry::NC_052522.2	0	2763	rna-XR_001599767.3	LOC6737189
qry::NC_052522.2	0	2763	rna-XR_001599768.3	LOC6737189
qry::NC_052522.2	0	2763	rna-XR_001599769.3	LOC6737189
qry::NC_052522.2	0	2763	rna-XR_005543875.2	LOC6737189
qry::NC_052522.2	0	2763	rna-XM_016169987.3	LOC6737189
qry::NC_052522.2	3000	3897	rna-XM_002084000.4	LOC6737190
qry::NC_052522.2	12118	12730	rna-XM_016183073.3	LOC27207379
qry::NC_052522.2	14566	18000	rna-XM_002084001.4	LOC6737191
qry::NC_052522.2	36812	38706	rna-XM_002084002.3	LOC6737192
qry::NC_052522.2	38703	41259	rna-XM_002084003.4	LOC6737193
qry::NC_052522.2	41698	42433	rna-XM_002084004.4	LOC6737194
qry::NC_052522.2	41698	42436	rna-XM_016169980.3	LOC6737194
qry::NC_052522.2	42649	44092	rna-XM_002084005.4	LOC6737195
qry::NC_052522.2	44149	44903	rna-XM_016169979.3	LOC6737196
qry::NC_052522.2	45222	120186	rna-XM_039293888.2	LOC6737197
qry::NC_052522.2	45222	120186	rna-XR_001599786.3	LOC6737197
