seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	957	rna-NM_134751.3	CG5556
ref::NT_033779.5	0	957	rna-NM_001298630.1	CG5556
ref::NT_033779.5	1059	2198	rna-NM_134752.2	CG5561
ref::NT_033779.5	2190	3008	rna-NM_164414.3	CG31924
ref::NT_033779.5	3000	4013	rna-NM_134754.3	CG5565
ref::NT_033779.5	7014	7879	rna-NM_001169381.2	CG31659
ref::NT_033779.5	7014	7879	rna-NM_164415.3	CG31659
ref::NT_033779.5	7926	9910	rna-NM_001298631.1	NLaz
ref::NT_033779.5	8072	9824	rna-NM_001272938.2	NLaz
ref::NT_033779.5	8072	9824	rna-NM_175946.2	NLaz
ref::NT_033779.5	16085	17139	rna-NM_164416.2	CG14346
ref::NT_033779.5	16178	17139	rna-NM_001298632.1	CG14346
ref::NT_033779.5	16178	17139	rna-NM_134755.3	CG14346
qry::NC_052520.2	0	996	rna-XM_016182839.3	LOC27207090
qry::NC_052520.2	1058	2225	rna-XM_016179214.3	LOC6730568
qry::NC_052520.2	2217	2983	rna-XM_016179213.2	LOC6730569
qry::NC_052520.2	3000	4027	rna-XM_002077713.4	LOC6730570
qry::NC_052520.2	7012	7980	rna-XM_002077714.4	LOC6730571
qry::NC_052520.2	7012	7980	rna-XM_016179212.3	LOC6730571
qry::NC_052520.2	8043	9848	rna-XM_002077715.4	LOC6730572
qry::NC_052520.2	15953	17031	rna-XM_016179373.3	LOC6730573
qry::NC_052520.2	16024	17031	rna-XM_039298255.2	LOC6730573
