seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	624	1918	rna-NM_137699.5	Cht9
ref::NT_033778.4	892	2077	rna-NR_124673.1	asRNA:CR44703
ref::NT_033778.4	3000	5421	rna-NM_137700.4	CG10527
ref::NT_033778.4	3381	4527	rna-NR_124674.1	asRNA:CR44704
ref::NT_033778.4	6650	21577	rna-NM_166422.2	Treh
ref::NT_033778.4	8297	20858	rna-NM_001274186.1	Treh
ref::NT_033778.4	9085	20858	rna-NM_080082.3	Treh
ref::NT_033778.4	9472	20858	rna-NM_166421.2	Treh
ref::NT_033778.4	13240	20858	rna-NM_166423.3	Treh
ref::NT_033778.4	13240	20858	rna-NM_166425.2	Treh
ref::NT_033778.4	16967	20858	rna-NM_166424.2	Treh
ref::NT_033778.4	21018	23636	rna-NM_137701.3	Rbpn-5
qry::NC_052521.2	661	2000	rna-XM_002082385.4	LOC6735482
qry::NC_052521.2	3000	5502	rna-XM_016181462.3	LOC6735483
qry::NC_052521.2	9283	20827	rna-XM_016168620.3	LOC6735484
qry::NC_052521.2	9286	20503	rna-XR_006541687.1	LOC6735484
qry::NC_052521.2	13205	20827	rna-XM_016168619.2	LOC6735484
qry::NC_052521.2	13345	20827	rna-XM_016168618.3	LOC6735484
qry::NC_052521.2	13412	20827	rna-XM_016168616.2	LOC6735484
qry::NC_052521.2	13414	20827	rna-XM_016168617.2	LOC6735484
qry::NC_052521.2	16849	20503	rna-XR_006541686.1	LOC6735484
qry::NC_052521.2	16850	20503	rna-XR_006541684.1	LOC6735484
qry::NC_052521.2	16850	20503	rna-XR_006541685.1	LOC6735484
qry::NC_052521.2	20942	23604	rna-XM_002082388.4	LOC6735485
