seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	553	rna-NM_138025.3	Rsph4a
ref::NT_033778.4	555	2796	rna-NM_166647.3	CG3907
ref::NT_033778.4	555	2955	rna-NM_138026.4	CG3907
ref::NT_033778.4	3000	4638	rna-NM_138027.3	Xxylt
ref::NT_033778.4	4755	6434	rna-NR_124720.1	asRNA:CR45350
ref::NT_033778.4	4864	6534	rna-NM_079112.4	Ak2
ref::NT_033778.4	6829	8175	rna-NM_001299879.1	EbpIII
ref::NT_033778.4	7203	8175	rna-NM_080227.2	EbpIII
ref::NT_033778.4	7340	8175	rna-NM_001299880.1	EbpIII
ref::NT_033778.4	8374	9446	rna-NM_001299881.1	HSPC300
ref::NT_033778.4	8609	9446	rna-NM_166648.3	HSPC300
ref::NT_033778.4	9974	11212	rna-NM_138028.2	CG3163
ref::NT_033778.4	11203	12084	rna-NM_001299882.1	CG30172
ref::NT_033778.4	11303	11859	rna-NM_166649.2	CG30172
ref::NT_033778.4	12195	14425	rna-NM_166650.2	Chi
ref::NT_033778.4	12195	14600	rna-NM_057734.4	Chi
qry::NC_052521.2	0	532	rna-XM_016168850.3	LOC6735993
qry::NC_052521.2	526	2825	rna-XM_016184015.3	LOC27208453
qry::NC_052521.2	526	2826	rna-XM_016184016.3	LOC27208453
qry::NC_052521.2	3000	4642	rna-XM_016184575.3	LOC27209061
qry::NC_052521.2	4844	6520	rna-XM_002082875.4	LOC6736002
qry::NC_052521.2	7094	8171	rna-XM_016168856.3	LOC6736003
qry::NC_052521.2	8599	9604	rna-XM_016174474.3	LOC6736004
qry::NC_052521.2	10032	11296	rna-XM_039291658.2	LOC27208798
qry::NC_052521.2	11385	11943	rna-XM_002082867.4	LOC6735994
qry::NC_052521.2	12411	14435	rna-XM_002082868.4	LOC6735995
qry::NC_052521.2	12411	14690	rna-XM_016181245.3	LOC6735995
