seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	1585	rna-NM_001298477.1	Pgant7
ref::NC_004354.4	0	1471	rna-NM_167623.2	Pgant7
ref::NC_004354.4	0	1471	rna-NM_133073.3	Pgant7
ref::NC_004354.4	1726	2857	rna-NM_133074.3	Xrcc2
ref::NC_004354.4	3000	7004	rna-NM_001298478.1	Wnt5
ref::NC_004354.4	3155	7004	rna-NM_057576.5	Wnt5
ref::NC_004354.4	7482	13936	rna-NM_001298479.1	Ggt-1
ref::NC_004354.4	7482	14120	rna-NM_133075.3	Ggt-1
ref::NC_004354.4	14428	16409	rna-NM_133076.3	CG6470
ref::NC_004354.4	14428	16466	rna-NM_001298480.1	CG6470
ref::NC_004354.4	17027	22044	rna-NM_001272756.1	HisRS
ref::NC_004354.4	17027	22044	rna-NM_001272757.1	HisRS
ref::NC_004354.4	17027	22044	rna-NM_133077.2	HisRS
ref::NC_004354.4	17027	22044	rna-NM_167624.3	HisRS
ref::NC_004354.4	17027	73325	rna-NM_001272759.2	Bx
ref::NC_004354.4	22673	24044	rna-NM_133079.3	CG6481
qry::NC_052526.2	0	1464	rna-XM_002101583.4	LOC6525798
qry::NC_052526.2	1522	3027	rna-XM_002101584.4	LOC6525799
qry::NC_052526.2	3000	6354	rna-XM_015191016.3	LOC6525800
qry::NC_052526.2	3000	6854	rna-XM_002101585.4	LOC6525800
qry::NC_052526.2	7346	13809	rna-XM_002101586.4	LOC6525801
qry::NC_052526.2	14267	15967	rna-XM_002101587.4	LOC6525802
qry::NC_052526.2	16575	70887	rna-XM_039377306.2	LOC6525810
qry::NC_052526.2	16577	21027	rna-XM_015191017.2	LOC6525803
qry::NC_052526.2	16581	21027	rna-XM_002101588.3	LOC6525803
qry::NC_052526.2	21620	23140	rna-XM_002101590.3	LOC6525805
