seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	3564	rna-NM_134272.1	Acp26Ab
ref::NT_033779.5	3051	3564	rna-NM_057297.3	Acp26Ab
ref::NT_033779.5	3096	3564	rna-NM_001298717.1	Acp26Ab
ref::NT_033779.5	3585	4598	rna-NM_057296.2	Acp26Aa
ref::NT_033779.5	10651	11082	rna-NR_124107.1	lncRNA:CR44579
ref::NT_033779.5	13880	15391	rna-NM_001298718.1	CG9021
ref::NT_033779.5	14061	15391	rna-NM_135123.3	CG9021
ref::NT_033779.5	15660	16952	rna-NR_073727.1	lncRNA:CR43808
ref::NT_033779.5	15660	16952	rna-NR_073728.1	lncRNA:CR43808
ref::NT_033779.5	17871	33478	rna-NM_135124.2	bchs
qry::NC_052520.2	3000	3559	rna-XM_002078247.4	LOC6731126
qry::NC_052520.2	3511	4754	rna-XM_016178930.2	LOC6731127
qry::NC_052520.2	13728	15151	rna-XM_002078249.4	LOC6733136
