seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	54	rna-NM_001299571.1	Sfp53D
ref::NT_033778.4	0	54	rna-NM_001169699.2	Sfp53D
ref::NT_033778.4	163	1519	rna-NM_137307.4	CG15617
ref::NT_033778.4	2774	3530	rna-NM_001299572.1	Acp53C14a
ref::NT_033778.4	3000	3530	rna-NM_137308.3	Acp53C14a
ref::NT_033778.4	3755	4400	rna-NM_001299573.1	Acp53C14b
ref::NT_033778.4	3846	4400	rna-NM_137309.4	Acp53C14b
ref::NT_033778.4	4743	5275	rna-NM_057803.5	Acp53Ea
ref::NT_033778.4	5716	6435	rna-NM_001014532.3	Acp53C14c
ref::NT_033778.4	5716	6435	rna-NM_001202032.2	Acp53C14c
ref::NT_033778.4	6443	20940	rna-NM_001103876.3	unc-104
ref::NT_033778.4	6443	20940	rna-NM_001259444.2	unc-104
ref::NT_033778.4	6443	20940	rna-NM_001259445.2	unc-104
ref::NT_033778.4	6443	20940	rna-NM_137311.5	unc-104
ref::NT_033778.4	6443	20940	rna-NM_166190.4	unc-104
ref::NT_033778.4	6443	27440	rna-NM_001274104.2	unc-104
ref::NT_033778.4	6443	27440	rna-NM_001316424.1	unc-104
ref::NT_033778.4	6443	27611	rna-NM_166192.4	unc-104
ref::NT_033778.4	9384	9865	rna-NM_001103877.2	CG34189
ref::NT_033778.4	10013	10763	rna-NM_137310.3	CG5267
ref::NT_033778.4	20301	20940	rna-NM_001144209.2	CG42392
ref::NT_033778.4	21744	24178	rna-NM_001259446.2	CG5348
ref::NT_033778.4	21744	24178	rna-NM_137312.4	CG5348
qry::NC_052528.2	0	15761	rna-XM_015195794.2	LOC6531363
qry::NC_052528.2	0	501	rna-XM_002092129.4	LOC6531362
qry::NC_052528.2	1446	3006	rna-XM_015195801.3	LOC26535689
qry::NC_052528.2	3000	15761	rna-XM_039373220.1	LOC6531363
qry::NC_052528.2	3000	15761	rna-XM_039373221.1	LOC6531363
qry::NC_052528.2	3000	15761	rna-XM_039373222.1	LOC6531363
qry::NC_052528.2	3000	15761	rna-XM_039373223.1	LOC6531363
qry::NC_052528.2	3000	15761	rna-XM_039373224.1	LOC6531363
qry::NC_052528.2	3000	15761	rna-XM_039373225.1	LOC6531363
qry::NC_052528.2	11473	12188	rna-XM_002092131.4	LOC6531364
qry::NC_052528.2	12325	12747	rna-XM_015195802.3	LOC26535256
qry::NC_052528.2	15870	16491	rna-XM_002092132.3	LOC6531365
qry::NC_052528.2	17020	17576	rna-XM_002092133.3	LOC6531366
qry::NC_052528.2	17921	18564	rna-XM_002092134.3	LOC6531367
qry::NC_052528.2	18847	19412	rna-XM_002092135.3	LOC6531368
qry::NC_052528.2	19454	19860	rna-XR_001454257.3	LOC26535584
qry::NC_052528.2	20414	22233	rna-XM_002092136.4	LOC6531369
