seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	3710	rna-NM_140161.3	Cpr67Fa1
ref::NT_037436.4	4724	5526	rna-NM_140162.2	Cpr67Fa2
ref::NT_037436.4	6656	7753	rna-NR_124863.1	asRNA:CR45171
ref::NT_037436.4	7183	7703	rna-NM_140163.2	Cpr67Fb
ref::NT_037436.4	7786	11583	rna-NM_140164.4	Aps
ref::NT_037436.4	7786	12133	rna-NM_168426.3	Aps
ref::NT_037436.4	8457	12133	rna-NM_168425.3	Aps
qry::NC_052522.2	1341	2062	rna-XM_039293084.2	LOC120284704
qry::NC_052522.2	1370	5608	rna-XM_039293083.1	LOC6737583
qry::NC_052522.2	3000	3868	rna-XM_002084379.4	LOC120284202
qry::NC_052522.2	4800	5608	rna-XM_002084380.3	LOC6737583
qry::NC_052522.2	6181	8137	rna-XM_016183383.3	LOC27207701
qry::NC_052522.2	8361	12069	rna-XM_016174308.3	LOC6739632
