seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	336	rna-NR_124982.1	lncRNA:CR44670
ref::NT_037436.4	737	1086	rna-NR_124983.1	lncRNA:CR44671
ref::NT_037436.4	3000	4560	rna-NM_001275085.1	CG32196
ref::NT_037436.4	3000	4560	rna-NM_168764.3	CG32196
ref::NT_037436.4	5493	6699	rna-NM_140781.4	CG4306
ref::NT_037436.4	12914	13154	rna-NM_143723.3	Met75Cb
ref::NT_037436.4	15679	15920	rna-NM_168765.2	Met75Ca
ref::NT_037436.4	18834	19215	rna-NR_124984.1	lncRNA:CR44672
qry::NC_052522.2	3000	4491	rna-XM_016169291.3	LOC6738562
qry::NC_052522.2	3000	4492	rna-XM_039293385.2	LOC6738562
qry::NC_052522.2	3000	4492	rna-XM_039293386.2	LOC6738562
qry::NC_052522.2	3000	4494	rna-XM_039293387.2	LOC6738562
qry::NC_052522.2	5459	6513	rna-XM_002085332.4	LOC6738563
qry::NC_052522.2	7539	8314	rna-XR_001600652.3	LOC27207994
qry::NC_052522.2	13838	14089	rna-XM_002085333.4	LOC6738564
