seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	26621	rna-NM_079467.3	fng
ref::NT_037436.4	4935	6299	rna-NM_141012.2	CG10589
ref::NT_037436.4	27468	27892	rna-NR_125030.1	lncRNA:CR45243
ref::NT_037436.4	32864	33859	rna-NM_141013.2	Sems
ref::NT_037436.4	34043	37279	rna-NM_141014.2	CG10588
ref::NT_037436.4	34043	37769	rna-NM_001300206.1	CG10588
ref::NT_037436.4	37507	38495	rna-NM_141015.2	CG11037
ref::NT_037436.4	38646	39664	rna-NM_001144517.2	CG10587
ref::NT_037436.4	38646	39664	rna-NM_001300207.1	CG10587
ref::NT_037436.4	38646	39664	rna-NM_141016.2	CG10587
ref::NT_037436.4	39764	43871	rna-NM_001144519.3	CG12983
ref::NT_037436.4	39764	43871	rna-NM_001259924.1	CG12983
ref::NT_037436.4	39764	43871	rna-NM_001275204.1	CG12983
ref::NT_037436.4	39768	43871	rna-NM_001144520.2	CG12983
ref::NT_037436.4	39770	43871	rna-NM_001144518.3	CG12983
qry::NC_052522.2	3000	26584	rna-XM_016183542.3	LOC27207911
qry::NC_052522.2	4973	6303	rna-XM_002085686.4	LOC6738927
qry::NC_052522.2	6784	26591	rna-XM_039293160.2	LOC27207911
qry::NC_052522.2	17674	18666	rna-XR_005543905.2	LOC120284714
qry::NC_052522.2	32757	33849	rna-XM_002076523.4	LOC6739666
qry::NC_052522.2	33998	37634	rna-XM_002076524.4	LOC6739665
qry::NC_052522.2	37470	38496	rna-XM_002085688.4	LOC6738929
qry::NC_052522.2	38579	39686	rna-XM_002085689.4	LOC6738930
qry::NC_052522.2	38579	39693	rna-XM_016169153.3	LOC6738930
qry::NC_052522.2	39714	43685	rna-XM_002085690.3	LOC6738931
