seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2113	rna-NM_001260187.1	Kpc1
ref::NT_033777.3	0	2268	rna-NM_142168.2	Kpc1
ref::NT_033777.3	2656	9035	rna-NM_001170143.2	CG42542
ref::NT_033777.3	2656	9035	rna-NM_142169.4	CG42542
ref::NT_033777.3	3000	9035	rna-NM_001170144.2	CG42542
ref::NT_033777.3	3000	9035	rna-NM_170649.2	CG42542
ref::NT_033777.3	3000	9132	rna-NM_001170145.2	CG42542
ref::NT_033777.3	6622	9031	rna-NM_169620.2	CG42542
ref::NT_033777.3	9127	12505	rna-NM_080215.4	Spn88Ea
ref::NT_033777.3	9127	12505	rna-NM_176501.3	Spn88Ea
ref::NT_033777.3	12761	14820	rna-NM_142170.3	Spn88Eb
ref::NT_033777.3	15262	17405	rna-NM_142171.4	Mau2
ref::NT_033777.3	17335	19716	rna-NM_142172.3	CG6654
ref::NT_033777.3	20032	20903	rna-NM_142173.2	CG4210
qry::NC_052530.2	0	400	rna-XM_002097753.3	LOC6537231
qry::NC_052530.2	293	3114	rna-XM_015192721.2	LOC6537232
qry::NC_052530.2	718	3114	rna-XM_002097754.3	LOC6537232
qry::NC_052530.2	3000	5200	rna-XM_002097755.4	LOC6537233
qry::NC_052530.2	5656	7719	rna-XM_002097756.3	LOC6537234
qry::NC_052530.2	7945	11360	rna-XM_039376442.1	LOC120321987
qry::NC_052530.2	11435	15594	rna-XM_043207159.1	LOC6537236
qry::NC_052530.2	11435	18143	rna-XM_002097758.4	LOC6537236
qry::NC_052530.2	18427	23636	rna-XM_002097759.4	LOC6537237
