seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2113	rna-NM_001260187.1	Kpc1
ref::NT_033777.3	0	2268	rna-NM_142168.2	Kpc1
ref::NT_033777.3	2656	9035	rna-NM_001170143.2	CG42542
ref::NT_033777.3	2656	9035	rna-NM_142169.4	CG42542
ref::NT_033777.3	3000	9035	rna-NM_001170144.2	CG42542
ref::NT_033777.3	3000	9035	rna-NM_170649.2	CG42542
ref::NT_033777.3	3000	9132	rna-NM_001170145.2	CG42542
ref::NT_033777.3	6622	9031	rna-NM_169620.2	CG42542
ref::NT_033777.3	9127	12505	rna-NM_080215.4	Spn88Ea
ref::NT_033777.3	9127	12505	rna-NM_176501.3	Spn88Ea
ref::NT_033777.3	12761	14820	rna-NM_142170.3	Spn88Eb
ref::NT_033777.3	15262	17405	rna-NM_142171.4	Mau2
ref::NT_033777.3	17335	19716	rna-NM_142172.3	CG6654
ref::NT_033777.3	20032	20903	rna-NM_142173.2	CG4210
qry::NC_052523.2	0	473	rna-XM_002103332.4	LOC6728016
qry::NC_052523.2	735	3125	rna-XM_002103333.4	LOC6728017
qry::NC_052523.2	3000	5221	rna-XM_002103334.4	LOC6728018
qry::NC_052523.2	5609	7666	rna-XM_016176676.3	LOC6728019
qry::NC_052523.2	7883	11343	rna-XM_016176678.2	LOC6728020
qry::NC_052523.2	7894	11343	rna-XM_016176677.3	LOC6728020
qry::NC_052523.2	11414	17212	rna-XM_044923400.1	LOC6728021
qry::NC_052523.2	11414	17805	rna-XM_016175343.3	LOC6728021
qry::NC_052523.2	11414	17998	rna-XM_016175344.3	LOC6728021
qry::NC_052523.2	11414	17998	rna-XM_016175346.2	LOC6728021
qry::NC_052523.2	18346	23429	rna-XM_002103338.4	LOC6728022
