seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	29393	rna-NM_167874.2	Ptp61F
ref::NT_037436.4	0	79671	rna-NM_001274324.2	Ptp61F
ref::NT_037436.4	2109	2180	rna-Dmel_CR32327	tRNA:Glu-CTC-3-4
ref::NT_037436.4	2346	2417	rna-Dmel_CR32326	tRNA:Glu-CTC-3-5
ref::NT_037436.4	2583	2654	rna-Dmel_CR32325	tRNA:Glu-CTC-3-6
ref::NT_037436.4	2820	2891	rna-Dmel_CR32324	tRNA:Glu-CTC-3-7
ref::NT_037436.4	3000	6026	rna-NM_001104002.3	CG32320
ref::NT_037436.4	5854	5925	rna-Dmel_CR32323	tRNA:Glu-CTC-3-8
ref::NT_037436.4	6195	6266	rna-Dmel_CR32322	tRNA:Glu-CTC-3-9
ref::NT_037436.4	15471	17503	rna-NM_138262.3	CG9168
ref::NT_037436.4	20645	22347	rna-NM_138263.2	FucTD
ref::NT_037436.4	25613	27885	rna-NM_138264.2	CG9173
ref::NT_037436.4	38750	42286	rna-NM_138265.3	SA2
qry::NC_052522.2	2875	2946	rna-Trnae-cuc-7	Trnae-cuc
qry::NC_052522.2	3000	6056	rna-XM_016170616.3	LOC6736335
qry::NC_052522.2	5884	5955	rna-Trnae-cuc-8	Trnae-cuc
qry::NC_052522.2	6212	6283	rna-Trnae-cuc-9	Trnae-cuc
qry::NC_052522.2	15392	17400	rna-XM_002083179.4	LOC6736338
qry::NC_052522.2	20594	22163	rna-XM_016176876.3	LOC6740468
qry::NC_052522.2	26243	27744	rna-XM_002083181.4	LOC6736340
qry::NC_052522.2	33443	36886	rna-XM_016170503.3	LOC6736342
