seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	507	rna-NM_141421.2	Ccp84Af
ref::NT_033777.3	1155	2026	rna-NM_141422.3	Ccp84Ae
ref::NT_033777.3	3000	3795	rna-NM_141423.4	Ccp84Ad
ref::NT_033777.3	5416	6539	rna-NM_141424.3	Ccp84Ac
ref::NT_033777.3	9828	10432	rna-NR_002492.2	lncRNA:CR33938
ref::NT_033777.3	12236	13145	rna-NM_141425.2	Ccp84Ab
ref::NT_033777.3	14352	15171	rna-NM_141426.2	Ccp84Aa
ref::NT_033777.3	18068	52331	rna-NM_057321.5	pb
ref::NT_033777.3	18068	52331	rna-NM_206439.2	pb
ref::NT_033777.3	18068	52331	rna-NM_206440.2	pb
ref::NT_033777.3	18068	52331	rna-NM_206441.2	pb
ref::NT_033777.3	53403	54342	rna-NM_001144545.2	zen2
ref::NT_033777.3	53403	54404	rna-NM_057446.3	zen2
qry::NC_052530.2	319	2692	rna-XR_005561657.1	LOC120321920
qry::NC_052530.2	3000	35975	rna-XM_002096702.3	LOC6536137
qry::NC_052530.2	3000	35975	rna-XM_015192097.2	LOC6536137
qry::NC_052530.2	38587	39477	rna-XM_039375718.1	LOC6536138
qry::NC_052530.2	40170	41577	rna-XM_015192098.3	LOC6536139
qry::NC_052530.2	46465	47443	rna-XM_002096705.3	LOC6536140
qry::NC_052530.2	49669	50447	rna-XM_039375720.1	LOC6536141
qry::NC_052530.2	51772	52573	rna-XM_002096707.3	LOC6536142
qry::NC_052530.2	53321	54021	rna-XM_002096708.3	LOC6536143
