seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	1813	rna-NM_001103546.3	CrebB
ref::NC_004354.4	0	1813	rna-NM_001272749.2	CrebB
ref::NC_004354.4	0	2860	rna-NM_001103547.4	CrebB
ref::NC_004354.4	0	2860	rna-NM_001103548.4	CrebB
ref::NC_004354.4	0	1813	rna-NM_001272748.3	CrebB
ref::NC_004354.4	0	1813	rna-NM_001347813.2	CrebB
ref::NC_004354.4	0	1813	rna-NM_001382186.1	CrebB
ref::NC_004354.4	0	1813	rna-NM_206781.4	CrebB
ref::NC_004354.4	0	1813	rna-NM_206783.4	CrebB
ref::NC_004354.4	2517	4847	rna-NM_057542.3	por
ref::NC_004354.4	2517	4850	rna-NM_001272751.1	por
ref::NC_004354.4	3000	4847	rna-NM_001272750.1	por
ref::NC_004354.4	5078	6475	rna-NM_133060.3	CG6179
ref::NC_004354.4	6545	10238	rna-NM_078676.4	betaCOP
ref::NC_004354.4	12080	15340	rna-NM_001298475.1	Tsf1
ref::NC_004354.4	12917	15340	rna-NM_078677.3	Tsf1
ref::NC_004354.4	15494	35140	rna-NM_133061.3	Nt5b
ref::NC_004354.4	15494	35140	rna-NM_206785.2	Nt5b
ref::NC_004354.4	15494	35140	rna-NM_206786.2	Nt5b
ref::NC_004354.4	15546	29581	rna-NM_167614.2	Nt5b
ref::NC_004354.4	15552	35140	rna-NM_167615.2	Nt5b
ref::NC_004354.4	15552	35140	rna-NM_206787.2	Nt5b
ref::NC_004354.4	24565	25061	rna-NM_001103549.2	CG34328
qry::NC_052526.2	0	2607	rna-XM_015191007.2	LOC6525778
qry::NC_052526.2	0	2607	rna-XM_002101563.3	LOC6525778
qry::NC_052526.2	0	2607	rna-XM_015191006.2	LOC6525778
qry::NC_052526.2	0	2607	rna-XM_015191005.2	LOC6525778
qry::NC_052526.2	0	2607	rna-XM_015191009.2	LOC6525778
qry::NC_052526.2	3000	4886	rna-XM_002101564.3	LOC6525779
qry::NC_052526.2	5076	6470	rna-XM_002101565.3	LOC6525780
qry::NC_052526.2	6484	10230	rna-XM_002101566.4	LOC6525781
qry::NC_052526.2	12934	15322	rna-XM_002101567.4	LOC6525782
qry::NC_052526.2	15445	21084	rna-XM_039375058.2	LOC6525783
qry::NC_052526.2	15445	29084	rna-XM_015191010.3	LOC6525783
qry::NC_052526.2	15445	33395	rna-XM_002101568.4	LOC6525783
qry::NC_052526.2	15445	34736	rna-XM_015191012.3	LOC6525783
qry::NC_052526.2	15445	34738	rna-XM_039375060.2	LOC6525783
qry::NC_052526.2	15445	34738	rna-XM_039375061.2	LOC6525783
qry::NC_052526.2	24016	28322	rna-XM_039375111.2	LOC26535581
qry::NC_052526.2	34815	35393	rna-XR_005561406.1	LOC120321706
