seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	71	1200	rna-NM_166374.4	Obp56c
ref::NT_033778.4	71	1200	rna-NM_206180.2	Obp56c
ref::NT_033778.4	3000	3991	rna-NM_001299690.1	Obp56d
ref::NT_033778.4	3215	3875	rna-NM_137600.3	Obp56d
ref::NT_033778.4	12171	12925	rna-NR_124630.1	asRNA:CR44509
ref::NT_033778.4	12421	13008	rna-NM_001299691.1	Obp56e
ref::NT_033778.4	12421	13008	rna-NM_137601.4	Obp56e
ref::NT_033778.4	13471	14052	rna-NM_166375.3	Obp56f
ref::NT_033778.4	14152	14944	rna-NM_137602.4	CG8517
ref::NT_033778.4	15641	15714	rna-Dmel_CR30215	tRNA:Ile-AAT-1-9
qry::NC_052528.2	1229	1302	rna-Trnai-aau-11	Trnai-aau
qry::NC_052528.2	3000	3572	rna-XM_002091708.4	LOC6530892
qry::NC_052528.2	3555	4370	rna-XM_002091709.4	LOC6530893
qry::NC_052528.2	4617	5101	rna-XM_015197377.2	LOC26535038
qry::NC_052528.2	5227	5822	rna-XM_002091710.3	LOC6530894
qry::NC_052528.2	12610	13393	rna-XM_015197382.3	LOC26535089
qry::NC_052528.2	16105	16780	rna-XM_002091711.4	LOC6530895
qry::NC_052528.2	18850	19942	rna-XM_002091712.3	LOC6530896
