seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	3000	7762	rna-NM_167758.2	GCS2alpha
ref::NC_004354.4	3098	7178	rna-NM_167759.2	GCS2alpha
ref::NC_004354.4	3098	7434	rna-NM_167760.1	GCS2alpha
ref::NC_004354.4	3098	7762	rna-NM_143888.5	GCS2alpha
ref::NC_004354.4	3098	7762	rna-NM_167757.3	GCS2alpha
ref::NC_004354.4	8382	10589	rna-NM_001298592.1	CG17450
ref::NC_004354.4	8466	10589	rna-NM_167762.4	CG17450
ref::NC_004354.4	8466	11418	rna-NM_167761.4	CG17450
qry::NC_052526.2	3000	7042	rna-XM_002101967.4	LOC6526194
qry::NC_052526.2	3000	7524	rna-XM_015191194.3	LOC6526194
qry::NC_052526.2	8117	10424	rna-XM_002101968.3	LOC6526195
