seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	602	rna-NM_079107.4	Snap29
ref::NT_033778.4	840	2863	rna-NM_001299855.1	CG5554
ref::NT_033778.4	840	2863	rna-NM_137994.3	CG5554
ref::NT_033778.4	3000	6912	rna-NM_137995.3	ytr
ref::NT_033778.4	3000	7319	rna-NM_001299856.1	ytr
ref::NT_033778.4	5085	6140	rna-NM_145105.3	eIF6
ref::NT_033778.4	6169	7339	rna-NR_133136.1	asRNA:CR45928
ref::NT_033778.4	7401	9086	rna-NM_001299857.1	gbb
ref::NT_033778.4	7401	9086	rna-NM_057992.3	gbb
ref::NT_033778.4	9109	14760	rna-NM_001299858.1	bgcn
ref::NT_033778.4	9109	14760	rna-NM_079108.3	bgcn
ref::NT_033778.4	11793	12775	rna-NM_166627.3	Pym
ref::NT_033778.4	14906	18432	rna-NM_134318.3	TBPH
ref::NT_033778.4	15169	18432	rna-NM_001169809.2	TBPH
ref::NT_033778.4	15169	18432	rna-NM_001169810.2	TBPH
ref::NT_033778.4	15169	18432	rna-NM_058051.4	TBPH
ref::NT_033778.4	15169	18432	rna-NM_058052.4	TBPH
ref::NT_033778.4	15169	18432	rna-NM_166628.3	TBPH
qry::NC_052528.2	0	576	rna-XM_002092654.4	LOC6531904
qry::NC_052528.2	813	2676	rna-XM_039372982.2	LOC6531905
qry::NC_052528.2	816	2676	rna-XM_002092655.3	LOC6531905
qry::NC_052528.2	3000	6908	rna-XM_002092656.4	LOC6531906
qry::NC_052528.2	5044	6215	rna-XM_015196113.3	LOC26534543
qry::NC_052528.2	7359	9045	rna-XM_039372981.1	LOC6531907
qry::NC_052528.2	9079	14717	rna-XM_002092658.4	LOC6531908
qry::NC_052528.2	11771	12862	rna-XM_015196114.3	LOC26536030
qry::NC_052528.2	14779	18315	rna-XM_039372979.2	LOC6531909
qry::NC_052528.2	14779	18316	rna-XM_039372974.2	LOC6531909
qry::NC_052528.2	14779	18316	rna-XM_039372975.2	LOC6531909
qry::NC_052528.2	14779	18317	rna-XM_039372978.2	LOC6531909
qry::NC_052528.2	14779	18320	rna-XM_039372976.2	LOC6531909
qry::NC_052528.2	14779	18321	rna-XM_039372977.2	LOC6531909
qry::NC_052528.2	15477	18317	rna-XM_039372980.1	LOC6531909
