seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	3516	rna-NM_001043293.3	BG642167
ref::NT_033777.3	4599	5234	rna-NR_125254.1	lncRNA:CR45652
ref::NT_033777.3	7651	8293	rna-NM_001170265.1	CG5024
ref::NT_033777.3	7651	8330	rna-NM_143174.2	CG5024
ref::NT_033777.3	8466	9689	rna-NM_001170266.1	Acam
ref::NT_033777.3	8466	9689	rna-NM_143175.2	CG17770
ref::NT_033777.3	9094	9689	rna-NM_057640.3	Acam
qry::NC_052530.2	1700	2344	rna-XM_002098951.3	LOC6538463
qry::NC_052530.2	2209	2970	rna-XM_002098952.3	LOC6538464
qry::NC_052530.2	3000	3847	rna-XM_002098953.4	LOC6538465
qry::NC_052530.2	8012	8596	rna-XM_015193374.2	LOC26534709
