seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	1560	rna-NM_057939.4	Nup154
ref::NT_033779.5	0	1868	rna-NM_057940.4	Nup154
ref::NT_033779.5	0	2609	rna-NM_001298898.1	Nup154
ref::NT_033779.5	1509	2774	rna-NM_135634.2	Art8
ref::NT_033779.5	2850	3823	rna-NR_133078.1	asRNA:CR45778
ref::NT_033779.5	3000	3823	rna-NM_001273441.2	dUTPase
ref::NT_033779.5	3000	3823	rna-NM_001273442.2	dUTPase
ref::NT_033779.5	3000	3823	rna-NM_135635.4	dUTPase
ref::NT_033779.5	3000	3823	rna-NM_164956.3	dUTPase
ref::NT_033779.5	4894	49152	rna-NM_001273443.3	Samuel
ref::NT_033779.5	4894	58686	rna-NM_080362.4	Samuel
ref::NT_033779.5	7308	8259	rna-NM_001298900.1	Acp32CD
ref::NT_033779.5	7308	8259	rna-NM_057980.5	Acp32CD
ref::NT_033779.5	8683	10466	rna-NM_001103676.3	CG14913
ref::NT_033779.5	20472	49152	rna-NM_001273444.3	Samuel
ref::NT_033779.5	20472	58686	rna-NM_001298899.1	Samuel
ref::NT_033779.5	26483	26996	rna-NM_144308.3	CG18666
qry::NC_052520.2	0	1724	rna-XM_016179977.3	LOC6731924
qry::NC_052520.2	1660	2955	rna-XM_002079024.4	LOC6731925
qry::NC_052520.2	3000	3850	rna-XM_016179978.3	LOC6731926
qry::NC_052520.2	4892	49490	rna-XM_039295466.2	LOC6731931
qry::NC_052520.2	4892	49490	rna-XM_039295480.2	LOC6731931
qry::NC_052520.2	4892	59330	rna-XM_039295464.1	LOC6731931
qry::NC_052520.2	4892	59330	rna-XM_039295471.1	LOC6731931
qry::NC_052520.2	7276	8236	rna-XM_016179980.3	LOC6731928
qry::NC_052520.2	7277	8236	rna-XM_016179979.3	LOC6731928
qry::NC_052520.2	8636	10464	rna-XM_016179981.3	LOC6731929
qry::NC_052520.2	26705	27194	rna-XM_002079031.4	LOC6731932
