seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1743	rna-NM_142904.4	CG10184
ref::NT_033777.3	1999	65907	rna-NM_001144629.3	CG31145
ref::NT_033777.3	1999	65907	rna-NM_001144631.2	CG31145
ref::NT_033777.3	1999	65907	rna-NM_001369999.1	CG31145
ref::NT_033777.3	3000	65907	rna-NM_170079.4	CG31145
ref::NT_033777.3	3000	65907	rna-NM_176547.3	CG31145
ref::NT_033777.3	3479	65907	rna-NM_001144630.2	CG31145
ref::NT_033777.3	73606	74669	rna-NM_142908.3	GILT3
ref::NT_033777.3	75143	76103	rna-NM_142909.4	GILT2
ref::NT_033777.3	76287	78565	rna-NM_079739.4	eIF3d1
ref::NT_033777.3	78751	80228	rna-NM_142910.3	CG16710
ref::NT_033777.3	80305	82785	rna-NM_144395.5	CG18754
ref::NT_033777.3	80596	82245	rna-NM_001275948.1	CG18754
ref::NT_033777.3	82503	84395	rna-NM_142911.4	SPE
qry::NC_052530.2	0	2800	rna-XM_002098411.3	LOC6537907
qry::NC_052530.2	1427	2105	rna-XR_005561750.1	LOC120322006
qry::NC_052530.2	3000	31050	rna-XM_002098412.3	LOC6537908
qry::NC_052530.2	3000	31050	rna-XM_015193081.2	LOC6537908
qry::NC_052530.2	74615	75705	rna-XR_005561556.2	LOC120321830
qry::NC_052530.2	75650	77731	rna-XR_001454014.2	LOC26535365
qry::NC_052530.2	77577	78851	rna-XM_015193083.2	LOC26535592
qry::NC_052530.2	79230	80354	rna-XM_002098413.4	LOC6537909
qry::NC_052530.2	80510	82784	rna-XM_002098414.3	LOC6537910
qry::NC_052530.2	82930	84437	rna-XM_002098415.3	LOC6537911
qry::NC_052530.2	84467	86294	rna-XM_002098416.3	LOC6537912
qry::NC_052530.2	86357	88194	rna-XM_002098417.4	LOC6537913
