seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2387	rna-NM_079456.4	alphaSnap
ref::NT_037436.4	944	3093	rna-NR_073957.1	asRNA:CR43875
ref::NT_037436.4	3000	5757	rna-NM_140948.4	Spn77Ba
ref::NT_037436.4	3000	5757	rna-NM_168844.3	Spn77Ba
ref::NT_037436.4	3000	5926	rna-NM_001300199.1	Spn77Ba
ref::NT_037436.4	6762	8168	rna-NM_140949.2	Spn77Bb
ref::NT_037436.4	8187	9019	gene-Dmel_CR6434	CR6434
ref::NT_037436.4	28444	30129	rna-NM_001275174.1	Spn77Bc
ref::NT_037436.4	28444	30129	rna-NM_140950.2	Spn77Bc
ref::NT_037436.4	31133	31844	gene-Dmel_CR45385	CR45385
ref::NT_037436.4	31546	33752	rna-NM_140952.3	Rbbp5
qry::NC_052529.2	246	2195	rna-XM_002095445.3	LOC6534809
qry::NC_052529.2	3000	4940	rna-XM_002095451.3	LOC6534815
qry::NC_052529.2	5021	5586	rna-XR_006245177.1	LOC122319570
qry::NC_052529.2	5488	8340	rna-XM_002095452.4	LOC6534816
qry::NC_052529.2	9053	11965	rna-XM_039373785.2	LOC6534817
