seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1746	rna-NM_170477.3	RpS7
ref::NT_033777.3	0	1994	rna-NM_170476.2	RpS7
ref::NT_033777.3	0	2000	rna-NM_143525.4	RpS7
ref::NT_033777.3	0	2072	rna-NM_206589.2	RpS7
ref::NT_033777.3	28	164	rna-NR_003915.1	snoRNA:Psi18S-1377e
ref::NT_033777.3	208	343	rna-NR_003916.1	snoRNA:Psi18S-1377d
ref::NT_033777.3	374	510	rna-NR_003917.1	snoRNA:Psi18S-1377c
ref::NT_033777.3	545	682	rna-NR_003918.1	snoRNA:Psi18S-1377b
ref::NT_033777.3	797	935	rna-NR_002506.2	snoRNA:Psi18S-1377a
ref::NT_033777.3	950	1091	rna-NR_003919.1	snoRNA:Psi28S-2626
ref::NT_033777.3	3000	3333	rna-NM_079848.3	Anp
ref::NT_033777.3	3000	3434	rna-NM_001300676.1	Anp
ref::NT_033777.3	3926	4325	rna-NM_079849.4	CecA1
ref::NT_033777.3	4579	4805	gene-Dmel_CR32926	Cec-Psi1
ref::NT_033777.3	5208	5620	rna-NM_079850.4	CecA2
ref::NT_033777.3	5955	6194	gene-Dmel_CR32934	Cec2
ref::NT_033777.3	6367	6849	rna-NM_079851.3	CecB
qry::NC_052523.2	0	2095	rna-XM_016173933.3	LOC6730195
qry::NC_052523.2	255	391	rna-XR_005544425.1	LOC120285112
qry::NC_052523.2	431	566	rna-XR_005544427.1	LOC120285114
qry::NC_052523.2	597	733	rna-XR_005544428.1	LOC120285115
qry::NC_052523.2	768	906	rna-XR_005544424.1	LOC120285111
qry::NC_052523.2	3000	3383	rna-XM_016177833.3	LOC6730191
qry::NC_052523.2	3893	4326	rna-XM_002105451.4	LOC6730202
qry::NC_052523.2	4256	4784	rna-XR_006541992.1	LOC123327322
qry::NC_052523.2	6078	6578	rna-XM_002105452.4	LOC6730203
