seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	30073	rna-NM_001274375.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274376.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274377.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274378.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274379.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274380.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274381.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274382.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274383.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274384.1	sls
ref::NT_037436.4	0	30073	rna-NM_001274385.1	sls
ref::NT_037436.4	2628	4088	rna-NR_048217.1	asRNA:CR42860
ref::NT_037436.4	2715	4088	rna-NR_037747.1	asRNA:CR42860
ref::NT_037436.4	2715	4088	rna-NR_037748.1	asRNA:CR42860
ref::NT_037436.4	3000	30073	rna-NM_001259622.1	sls
ref::NT_037436.4	4960	30073	rna-NM_079937.4	sls
ref::NT_037436.4	31928	66162	rna-NM_001043113.2	zormin
ref::NT_037436.4	32960	34029	rna-NR_133160.1	asRNA:CR45802
ref::NT_037436.4	37081	66162	rna-NM_001043112.2	zormin
ref::NT_037436.4	37081	66162	rna-NM_001043114.2	zormin
ref::NT_037436.4	37081	66162	rna-NM_001274386.1	zormin
ref::NT_037436.4	37081	66162	rna-NM_001274388.1	zormin
ref::NT_037436.4	37081	66162	rna-NM_206240.2	zormin
ref::NT_037436.4	67663	78325	rna-NM_001144400.2	CG15822
ref::NT_037436.4	67663	78325	rna-NM_001274389.1	CG15822
ref::NT_037436.4	67663	78325	rna-NM_001274390.1	CG15822
ref::NT_037436.4	67663	78325	rna-NM_139436.3	CG15822
qry::NC_052529.2	702	1520	rna-XM_002093196.4	LOC6532486
qry::NC_052529.2	3000	79107	rna-XM_039374428.1	LOC6532491
qry::NC_052529.2	3000	82853	rna-XM_015193902.2	LOC6532491
qry::NC_052529.2	3000	82854	rna-XM_039374430.1	LOC6532491
qry::NC_052529.2	3000	82854	rna-XM_039374431.1	LOC6532491
qry::NC_052529.2	3000	82854	rna-XM_039374432.1	LOC6532491
qry::NC_052529.2	3000	82857	rna-XM_039374427.1	LOC6532491
qry::NC_052529.2	3000	107527	rna-XM_039374425.1	LOC6532491
qry::NC_052529.2	3000	117884	rna-XM_039374434.2	LOC6532491
qry::NC_052529.2	3000	119061	rna-XM_039374422.1	LOC6532491
qry::NC_052529.2	3000	119078	rna-XM_039374421.1	LOC6532491
qry::NC_052529.2	3000	131323	rna-XM_039374429.1	LOC6532491
qry::NC_052529.2	3000	131324	rna-XM_039374426.1	LOC6532491
qry::NC_052529.2	3000	131326	rna-XM_039374418.1	LOC6532491
qry::NC_052529.2	3000	131326	rna-XM_039374419.1	LOC6532491
qry::NC_052529.2	3000	131326	rna-XM_039374420.2	LOC6532491
qry::NC_052529.2	3000	131326	rna-XM_039374423.1	LOC6532491
qry::NC_052529.2	3000	131326	rna-XM_039374424.1	LOC6532491
qry::NC_052529.2	59395	61830	rna-XR_005561228.2	LOC120321561
qry::NC_052529.2	60711	131323	rna-XM_039374433.2	LOC6532491
qry::NC_052529.2	89871	117795	rna-XM_015193906.2	LOC6532491
qry::NC_052529.2	89871	117796	rna-XM_015193908.3	LOC6532491
qry::NC_052529.2	89871	117796	rna-XM_015193913.2	LOC6532491
qry::NC_052529.2	89871	117797	rna-XM_002093201.4	LOC6532491
