seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	539	rna-NM_001038886.3	CG34038
ref::NT_033778.4	0	539	rna-NM_001259590.1	CG34038
ref::NT_033778.4	2929	3379	rna-NM_001169830.1	Sfp60F
ref::NT_033778.4	3000	3372	rna-NM_001299949.1	Sfp60F
ref::NT_033778.4	4252	4914	rna-NM_001299950.1	EbpII
ref::NT_033778.4	4481	4914	rna-NM_079142.4	EbpII
ref::NT_033778.4	5810	7399	rna-NM_001274249.1	Ebp
ref::NT_033778.4	6137	7399	rna-NM_138151.3	Ebp
ref::NT_033778.4	14312	19492	rna-NM_001043106.2	CG9380
ref::NT_033778.4	15810	19492	rna-NM_166707.2	CG9380
ref::NT_033778.4	15810	20808	rna-NM_001274251.1	CG9380
ref::NT_033778.4	15810	86002	rna-NM_001274250.1	CG9380
qry::NC_052528.2	0	1006	rna-XM_039372986.2	LOC6532169
qry::NC_052528.2	0	1006	rna-XM_002092906.3	LOC6532169
qry::NC_052528.2	3000	3376	rna-XM_015196247.2	LOC26534741
qry::NC_052528.2	3980	4516	rna-XM_002092907.4	LOC6532170
qry::NC_052528.2	5582	7141	rna-XM_015196248.2	LOC6532171
qry::NC_052528.2	12418	19738	rna-XM_039372077.1	LOC6532172
qry::NC_052528.2	14075	19740	rna-XM_015196251.2	LOC6532172
qry::NC_052528.2	15674	19724	rna-XM_002092909.3	LOC6532172
