seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	1991	2398	rna-NM_001202198.2	CG42815
ref::NT_037436.4	3000	8506	rna-NM_168748.4	CG42816
ref::NT_037436.4	8650	13191	rna-NM_140751.4	NUCB1
ref::NT_037436.4	13402	15627	rna-NM_140752.3	ais
ref::NT_037436.4	15828	17277	rna-NM_168749.2	CG32187
ref::NT_037436.4	17363	19716	rna-NM_168750.4	CG32191
ref::NT_037436.4	17363	20058	rna-NM_001300173.1	CG32191
ref::NT_037436.4	20143	23803	rna-NM_001275070.1	Cln3
ref::NT_037436.4	20143	25031	rna-NM_140754.2	Cln3
qry::NC_052529.2	0	2614	rna-XM_015195056.3	LOC6534283
qry::NC_052529.2	0	2614	rna-XM_002094928.4	LOC6534283
qry::NC_052529.2	0	2614	rna-XM_015195057.3	LOC6534283
qry::NC_052529.2	3000	5351	rna-XM_002094929.4	LOC6534284
qry::NC_052529.2	5657	7226	rna-XM_002094930.4	LOC6534285
qry::NC_052529.2	7599	9601	rna-XM_002094931.4	LOC6534286
qry::NC_052529.2	7628	9601	rna-XM_015195058.3	LOC6534286
qry::NC_052529.2	10071	12692	rna-XM_002094932.3	LOC6534287
qry::NC_052529.2	12811	19168	rna-XM_002094933.4	LOC6534288
qry::NC_052529.2	19642	20115	rna-XM_002094934.3	LOC6534289
