seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2780	rna-NM_140735.3	Edc3
ref::NT_037436.4	1619	1759	rna-NR_048291.1	snoRNA:Edc3-a
ref::NT_037436.4	2787	3121	rna-NR_124970.1	lncRNA:CR45165
ref::NT_037436.4	2826	3121	rna-NR_124971.1	lncRNA:CR45165
ref::NT_037436.4	3000	19295	rna-NM_001144492.2	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_001144493.3	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_001275061.1	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_001275062.1	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_168736.4	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_168738.4	Nedd4
ref::NT_037436.4	3000	19579	rna-NM_140736.3	Nedd4
ref::NT_037436.4	6425	19295	rna-NM_168737.2	Nedd4
ref::NT_037436.4	6670	19295	rna-NM_206394.2	Nedd4
ref::NT_037436.4	20996	22046	rna-NM_001202197.1	Jon74E
ref::NT_037436.4	22745	23577	rna-NM_140738.2	CG7542
ref::NT_037436.4	22745	23899	rna-NM_001300170.1	CG7542
ref::NT_037436.4	23923	30707	rna-NM_001275063.2	CycT
ref::NT_037436.4	23923	30707	rna-NM_001275064.2	CycT
ref::NT_037436.4	25428	28750	rna-NM_206395.3	CycT
ref::NT_037436.4	25428	30707	rna-NM_079403.4	CycT
ref::NT_037436.4	31591	49239	rna-NM_001014590.2	Eip74EF
ref::NT_037436.4	33077	49545	rna-NM_168741.2	Eip74EF
ref::NT_037436.4	33077	92244	rna-NM_001259887.2	Eip74EF
ref::NT_037436.4	33077	92244	rna-NM_168739.3	Eip74EF
ref::NT_037436.4	33077	92244	rna-NM_168740.3	Eip74EF
qry::NC_052529.2	1941	2832	rna-XM_043207032.1	LOC122319576
qry::NC_052529.2	1941	2838	rna-XM_043207031.1	LOC122319576
qry::NC_052529.2	2999	8293	rna-XM_015195073.3	LOC6534310
qry::NC_052529.2	3000	8293	rna-XM_002094954.4	LOC6534310
qry::NC_052529.2	10108	11056	rna-XM_002094955.4	LOC6534311
qry::NC_052529.2	11151	12760	rna-XM_002094956.4	LOC6534312
qry::NC_052529.2	14407	15324	rna-XM_002094957.3	LOC6534313
qry::NC_052529.2	19080	19997	rna-XM_002094958.3	LOC6534314
qry::NC_052529.2	25090	26034	rna-XM_039374722.2	LOC120321601
qry::NC_052529.2	26190	29795	rna-XM_015195074.3	LOC6534316
qry::NC_052529.2	26190	30477	rna-XM_039374720.2	LOC6534316
qry::NC_052529.2	26190	39363	rna-XM_039374719.2	LOC6534316
qry::NC_052529.2	26190	39365	rna-XM_015195085.3	LOC6534316
qry::NC_052529.2	26190	39366	rna-XM_015195086.3	LOC6534316
qry::NC_052529.2	26190	42818	rna-XM_015195076.3	LOC6534316
qry::NC_052529.2	26190	42819	rna-XM_015195075.3	LOC6534316
qry::NC_052529.2	26190	42819	rna-XM_039374718.2	LOC6534316
qry::NC_052529.2	26190	42820	rna-XM_015195077.3	LOC6534316
qry::NC_052529.2	26190	42821	rna-XM_015195079.3	LOC6534316
qry::NC_052529.2	26190	42821	rna-XM_015195081.3	LOC6534316
qry::NC_052529.2	26190	42821	rna-XM_039374717.2	LOC6534316
qry::NC_052529.2	26190	42822	rna-XM_002094960.4	LOC6534316
qry::NC_052529.2	26190	42822	rna-XM_015195078.3	LOC6534316
qry::NC_052529.2	26190	42822	rna-XM_015195080.3	LOC6534316
qry::NC_052529.2	26190	42822	rna-XM_015195083.3	LOC6534316
qry::NC_052529.2	26190	42822	rna-XM_039374716.2	LOC6534316
qry::NC_052529.2	26190	42823	rna-XM_039374715.2	LOC6534316
qry::NC_052529.2	29102	42835	rna-XM_015195082.3	LOC6534316
qry::NC_052529.2	43061	47531	rna-XM_002094961.3	LOC6534317
