seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	875	rna-NM_139552.3	CG14969
ref::NT_037436.4	1476	1685	rna-NM_168027.1	Drsl1
ref::NT_037436.4	1929	2315	rna-NM_168028.2	Drsl6
ref::NT_037436.4	2757	34030	rna-NM_001202112.2	kst
ref::NT_037436.4	2757	34030	rna-NM_001274439.1	kst
ref::NT_037436.4	3000	34030	rna-NM_079176.3	kst
ref::NT_037436.4	3000	34030	rna-NM_206265.3	kst
ref::NT_037436.4	3000	34030	rna-NM_206266.3	kst
ref::NT_037436.4	16005	34030	rna-NM_001104022.3	kst
ref::NT_037436.4	16005	34030	rna-NM_001274438.1	kst
ref::NT_037436.4	35453	35839	rna-NM_079177.4	Drs
ref::NT_037436.4	36348	40067	rna-NM_139554.4	Ythdc1
ref::NT_037436.4	37184	40067	rna-NM_168029.2	Ythdc1
ref::NT_037436.4	40179	42546	rna-NM_168030.2	CG12010
ref::NT_037436.4	42654	43584	rna-NM_001169868.2	CG12012
ref::NT_037436.4	42654	43584	rna-NM_139556.2	CG12012
ref::NT_037436.4	42654	43889	rna-NM_001300000.1	CG12012
ref::NT_037436.4	44165	45980	rna-NM_139557.2	Ids
qry::NC_052522.2	0	20626	rna-XM_016170775.3	LOC6736632
qry::NC_052522.2	0	20626	rna-XM_016170782.3	LOC6736632
qry::NC_052522.2	0	20626	rna-XM_039293311.2	LOC6736632
qry::NC_052522.2	3000	20626	rna-XM_016170779.3	LOC6736632
qry::NC_052522.2	3002	20626	rna-XM_016170776.3	LOC6736632
qry::NC_052522.2	3002	20626	rna-XM_039293310.2	LOC6736632
qry::NC_052522.2	3003	20626	rna-XM_016170773.3	LOC6736632
qry::NC_052522.2	3003	20626	rna-XM_016170777.3	LOC6736632
qry::NC_052522.2	22184	22581	rna-XM_002083456.3	LOC6736636
qry::NC_052522.2	23050	26797	rna-XM_002083457.4	LOC6736637
qry::NC_052522.2	23050	26798	rna-XM_016170296.2	LOC6736637
qry::NC_052522.2	23050	26815	rna-XM_039293312.2	LOC6736637
qry::NC_052522.2	26879	29262	rna-XM_002083458.4	LOC6736638
qry::NC_052522.2	29342	30335	rna-XM_002083459.4	LOC6736639
qry::NC_052522.2	30473	32714	rna-XM_002083460.4	LOC6736640
