seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	44450	rna-NM_078827.3	kek2
ref::NT_033779.5	3000	4400	rna-NM_001259062.1	Mst33A
ref::NT_033779.5	3000	4400	rna-NM_058117.3	Mst33A
ref::NT_033779.5	3000	4400	rna-NM_134430.2	Mst33A
ref::NT_033779.5	6143	6748	rna-NR_124201.1	lncRNA:CR44496
ref::NT_033779.5	8906	9245	rna-NM_078826.4	Acp33A
ref::NT_033779.5	28077	29339	rna-NM_135666.3	spag4
ref::NT_033779.5	62186	66406	rna-NM_001298915.1	CG6614
ref::NT_033779.5	62186	66406	rna-NM_001298916.1	CG6614
ref::NT_033779.5	62706	66406	rna-NM_135667.4	CG6614
ref::NT_033779.5	68898	69577	rna-NM_135668.2	CG12307
qry::NC_052520.2	0	43311	rna-XM_016180009.3	LOC27206553
qry::NC_052520.2	3000	4435	rna-XM_016178404.2	LOC6731993
qry::NC_052520.2	8717	9058	rna-XM_002079092.4	LOC6731994
qry::NC_052520.2	28559	29852	rna-XM_016168995.3	LOC6739231
qry::NC_052520.2	31558	33370	rna-XM_044922377.1	LOC123327055
qry::NC_052520.2	61381	65583	rna-XM_016178403.3	LOC6731997
qry::NC_052520.2	61381	65583	rna-XM_044923474.1	LOC6731997
qry::NC_052520.2	61383	65582	rna-XM_002079095.4	LOC6731997
qry::NC_052520.2	63004	65582	rna-XM_016178402.3	LOC6731997
qry::NC_052520.2	68034	68754	rna-XM_002079096.4	LOC6731998
