seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	2346	rna-NM_001273461.1	crol
ref::NT_033779.5	0	2346	rna-NM_001273462.1	crol
ref::NT_033779.5	0	2346	rna-NM_001273463.1	crol
ref::NT_033779.5	0	2346	rna-NM_164971.2	crol
ref::NT_033779.5	0	2346	rna-NM_001273464.1	crol
ref::NT_033779.5	0	1880	rna-NM_001259064.2	crol
ref::NT_033779.5	0	1880	rna-NM_057896.4	crol
ref::NT_033779.5	0	1880	rna-NM_057897.4	crol
ref::NT_033779.5	0	1880	rna-NM_057895.4	crol
ref::NT_033779.5	3000	6688	rna-NM_001273465.1	CycY
ref::NT_033779.5	3405	6688	rna-NM_135675.4	CycY
ref::NT_033779.5	7064	14533	rna-NM_135676.6	Pde1c
ref::NT_033779.5	7064	121480	rna-NM_001144348.4	Pde1c
ref::NT_033779.5	7838	67367	rna-NM_001144345.3	Pde1c
ref::NT_033779.5	7838	67367	rna-NM_001144347.3	Pde1c
ref::NT_033779.5	7838	70145	rna-NM_001259066.2	Pde1c
ref::NT_033779.5	7838	89686	rna-NM_001259065.2	Pde1c
ref::NT_033779.5	7838	89686	rna-NM_001273466.1	Pde1c
ref::NT_033779.5	8893	89686	rna-NM_001144346.3	Pde1c
ref::NT_033779.5	8893	121480	rna-NM_001144344.2	Pde1c
ref::NT_033779.5	20112	22313	rna-NM_058083.4	esc
ref::NT_033779.5	26994	27318	rna-NM_001298919.1	CG45011
ref::NT_033779.5	26994	27405	rna-NM_001298920.1	CG45011
ref::NT_033779.5	27516	27782	rna-NM_001298921.1	CG45012
ref::NT_033779.5	28228	28811	rna-NR_124206.1	lncRNA:CR45013
ref::NT_033779.5	29348	29716	rna-NR_124207.1	lncRNA:CR45014
ref::NT_033779.5	30151	30394	rna-NM_001169486.2	Sfp33A4
ref::NT_033779.5	30621	30957	rna-NM_001169487.1	Sfp33A2
ref::NT_033779.5	32206	32568	rna-NR_073763.2	lncRNA:CR43937
ref::NT_033779.5	32820	33237	rna-NM_001169488.2	Sfp33A3
ref::NT_033779.5	33363	33781	rna-NR_124209.1	asRNA:CR43936
ref::NT_033779.5	33363	33821	rna-NR_124208.1	asRNA:CR43936
ref::NT_033779.5	33599	33906	rna-NM_164973.3	CG31704
ref::NT_033779.5	33599	34112	rna-NM_001273468.1	CG31704
ref::NT_033779.5	34410	35134	rna-NM_001273469.1	CG44008
ref::NT_033779.5	34504	35353	rna-NM_001298922.1	CG44008
ref::NT_033779.5	35736	36569	rna-NM_001298923.1	CG14933
ref::NT_033779.5	35736	36569	rna-NM_001382140.1	CG46426
ref::NT_033779.5	36045	36920	rna-NM_001169489.2	CG42486
ref::NT_033779.5	36046	36920	rna-NM_144309.4	CG14933
ref::NT_033779.5	36592	36971	rna-NM_001298924.2	CG42486
ref::NT_033779.5	40134	42077	rna-NM_135678.2	Mal-B1
ref::NT_033779.5	42866	45479	rna-NM_135679.5	Mal-B2
ref::NT_033779.5	43215	45479	rna-NM_164975.3	Mal-B2
ref::NT_033779.5	43215	45789	rna-NM_001201862.1	Mal-B2
ref::NT_033779.5	46338	46833	rna-NM_001201863.1	CG42751
qry::NC_052527.2	0	1035	rna-XM_039371675.2	LOC6527299
qry::NC_052527.2	0	1225	rna-XM_015197666.3	LOC6527299
qry::NC_052527.2	0	2364	rna-XM_015197665.3	LOC6527299
qry::NC_052527.2	0	2364	rna-XM_039371681.2	LOC6527299
qry::NC_052527.2	0	2365	rna-XM_002088357.4	LOC6527299
qry::NC_052527.2	0	2365	rna-XM_015197658.3	LOC6527299
qry::NC_052527.2	0	2365	rna-XM_015197660.3	LOC6527299
qry::NC_052527.2	0	2365	rna-XM_015197661.3	LOC6527299
qry::NC_052527.2	0	2366	rna-XM_015197659.3	LOC6527299
qry::NC_052527.2	0	2366	rna-XM_015197663.3	LOC6527299
qry::NC_052527.2	0	2366	rna-XM_039371676.2	LOC6527299
qry::NC_052527.2	0	2366	rna-XM_039371677.2	LOC6527299
qry::NC_052527.2	0	2366	rna-XM_039371678.2	LOC6527299
