seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	163	rna-NM_078968.2	etaTry
ref::NT_033778.4	454	1500	rna-NM_078969.5	thetaTry
ref::NT_033778.4	3000	3859	rna-NM_057423.4	alphaTry
ref::NT_033778.4	3977	4806	rna-NM_080373.3	epsilonTry
ref::NT_033778.4	5065	5877	rna-NM_080165.3	betaTry
ref::NT_033778.4	5065	6135	rna-NM_001299385.1	betaTry
ref::NT_033778.4	7801	8610	rna-NM_165823.3	gammaTry
ref::NT_033778.4	9551	10361	rna-NM_165824.3	CG30031
ref::NT_033778.4	12304	13113	rna-NM_165825.2	CG30025
ref::NT_033778.4	14059	14868	rna-NM_078970.4	deltaTry
ref::NT_033778.4	14854	15340	rna-NM_136831.2	CG13202
ref::NT_033778.4	15460	16277	rna-NM_078971.4	iotaTry
qry::NC_052528.2	0	248	rna-XM_002091187.4	LOC6530296
qry::NC_052528.2	415	838	rna-XM_002091188.3	LOC6530297
qry::NC_052528.2	1017	1881	rna-XM_002091189.4	LOC6530298
qry::NC_052528.2	3000	3882	rna-XM_002091190.3	LOC6530299
qry::NC_052528.2	4891	5701	rna-XM_002091191.4	LOC6530300
qry::NC_052528.2	5939	6787	rna-XM_002091192.3	LOC6530301
qry::NC_052528.2	6905	7773	rna-XM_002091193.3	LOC6530302
qry::NC_052528.2	9262	10163	rna-XM_002091194.4	LOC6530303
qry::NC_052528.2	10609	11476	rna-XM_002091195.4	LOC6530304
