seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	3000	5728	rna-NM_001298218.1	CG1806
ref::NC_004354.4	3000	5728	rna-NM_132545.3	CG1806
ref::NC_004354.4	5535	8035	rna-NM_001316624.1	CG1492
ref::NC_004354.4	5824	8035	rna-NM_132546.3	CG1492
ref::NC_004354.4	8201	12882	rna-NM_167314.2	regucalcin
ref::NC_004354.4	10248	12882	rna-NM_132547.3	regucalcin
ref::NC_004354.4	11307	12882	rna-NM_167316.2	regucalcin
ref::NC_004354.4	11307	13199	rna-NM_167315.2	regucalcin
ref::NC_004354.4	13049	13785	rna-NM_001298219.1	Chrac-16
ref::NC_004354.4	13101	13785	rna-NM_132548.3	Chrac-16
ref::NC_004354.4	14464	16543	rna-NM_132549.3	Lsm12a
qry::NC_052526.2	0	1739	rna-XM_002099821.4	LOC6523985
qry::NC_052526.2	2143	2758	rna-XM_002099822.4	LOC6523986
qry::NC_052526.2	3000	4684	rna-XM_002099823.3	LOC6523987
qry::NC_052526.2	3000	5762	rna-XM_015189928.2	LOC6523987
qry::NC_052526.2	3000	7656	rna-XM_015189927.2	LOC6523987
qry::NC_052526.2	4061	5497	rna-XR_005560492.1	LOC120320966
qry::NC_052526.2	7907	10427	rna-XM_002099824.3	LOC6523988
qry::NC_052526.2	10295	12947	rna-XM_002099825.3	LOC6523989
qry::NC_052526.2	10295	40890	rna-XM_039371961.1	LOC6523989
qry::NC_052526.2	16053	26965	rna-XM_002099826.4	LOC6523990
qry::NC_052526.2	16053	26965	rna-XM_039371925.2	LOC6523990
qry::NC_052526.2	27094	29738	rna-XM_002099827.2	LOC6523991
qry::NC_052526.2	30712	32583	rna-XM_002099828.4	LOC6523992
qry::NC_052526.2	31920	40901	rna-XM_002099829.4	LOC6523993
qry::NC_052526.2	42321	43746	rna-XM_002099830.4	LOC6523994
