seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	2530	rna-NM_206111.3	Cpsf160
ref::NT_033778.4	0	2530	rna-NM_166056.3	Cpsf160
ref::NT_033778.4	3000	11535	rna-NM_001274041.1	Asx
ref::NT_033778.4	3000	11535	rna-NM_166057.2	Asx
ref::NT_033778.4	3269	11535	rna-NM_001274040.1	Asx
ref::NT_033778.4	4127	9742	rna-NM_001014527.2	Asx
ref::NT_033778.4	11601	14253	rna-NM_137124.3	Cpr51A
ref::NT_033778.4	13072	14034	rna-NM_166058.2	CG30197
ref::NT_033778.4	25309	86959	rna-NM_001274042.1	ttv
ref::NT_033778.4	25618	84363	rna-NM_001369957.1	ttv
ref::NT_033778.4	25618	84363	rna-NM_057883.3	ttv
ref::NT_033778.4	43192	45414	rna-NM_166059.2	CG30076
ref::NT_033778.4	52807	53351	rna-NM_001274044.1	CG43919
ref::NT_033778.4	62923	84363	rna-NM_001274043.1	ttv
ref::NT_033778.4	69852	74813	rna-NM_001274045.1	LamC
ref::NT_033778.4	69852	74813	rna-NM_079018.3	LamC
qry::NC_052528.2	0	2516	rna-XM_002091284.4	LOC6530394
qry::NC_052528.2	2997	11519	rna-XM_039372602.2	LOC6530395
qry::NC_052528.2	3000	10170	rna-XM_015197180.3	LOC6530395
qry::NC_052528.2	3000	10170	rna-XM_043206939.1	LOC6530395
qry::NC_052528.2	3001	11519	rna-XM_002091285.4	LOC6530395
qry::NC_052528.2	3001	11519	rna-XM_039372603.2	LOC6530395
qry::NC_052528.2	11640	14451	rna-XM_002091286.4	LOC6530396
qry::NC_052528.2	11640	41329	rna-XM_039372607.1	LOC6530396
qry::NC_052528.2	12997	14074	rna-XM_002091287.3	LOC6530397
qry::NC_052528.2	26308	87247	rna-XM_039372605.1	LOC6530398
qry::NC_052528.2	26309	87247	rna-XM_002091288.3	LOC6530398
qry::NC_052528.2	46084	49899	rna-XM_039372608.1	LOC6530399
qry::NC_052528.2	55238	55847	rna-XM_015197355.3	LOC26534779
qry::NC_052528.2	72659	77600	rna-XM_002091290.4	LOC6530400
qry::NC_052528.2	72659	77601	rna-XM_015196465.3	LOC6530400
