TRANSCRIPT	pi	theta	Tajimas_D	Fu_and_Li_F*	Fu_and_Li_D*	segSites
FBtr0005088	1.45057274469039	1.67290126195514	-0.588719477492547	0.806913266882915	1.36690755578865	10
FBtr0005673	12.7152831903373	21.5804262792213	-1.5753407322469	0.893500542236436	2.53166766242672	129
FBtr0005674	12.2234972867866	20.2421052696572	-1.52977961901696	0.911549951654811	2.51474661138548	121
FBtr0006151	0.77371489136195	1.50561113575963	-1.34179084028169	0.461215003887768	1.31207046284286	9
FBtr0070000	2.13067662930677	4.69124192339501	-1.78838349928319	0.56192637651565	1.92015553426795	28
FBtr0070002	2.15318949463687	5.86405240424376	-2.06474009165698	0.474959301079614	2.03306356478634	35
FBtr0070003	5.8358591859943	14.2631440080547	-2.06710437861362	0.599782323814407	2.40409672579465	85
FBtr0070006	0.537440690235367	3.01579837932536	-2.37331060043482	0.198281275940687	1.68411015953875	18
FBtr0070007	0.493814860938148	2.01053225288357	-2.05229875351745	0.242709479869939	1.46414011546645	12
FBtr0070008	0.773895267675443	2.68070967051143	-2.05886908721038	0.310967845956516	1.61996430646328	16
FBtr0070025	0.56036178504494	1.84298789847661	-1.88284432520281	0.292158324617657	1.41769736328927	11
FBtr0070026	1.87934766641474	4.69124192339501	-1.9297604698092	0.495643031831243	1.92015553426795	28
FBtr0070027	3.86698487886751	24.7965644522308	-2.84685558795496	0.238430344292305	2.56086185950921	148
FBtr0070028	0.0180987961809879	0.167544354406965	-1.01773403278854	0.0378115536540774	0.48649239439546	1
FBtr0070029	4.49323258267459	4.36284404952263	-0.262725569719893	1.25576623436403	1.88148061620061	26
FBtr0070032	2.17171554482502	5.52896369542983	-1.9843574342026	0.502442902960551	2.00387136144197	33
FBtr0070033	0.159568285595682	0.837721772034823	-1.74345433782261	0.137020037379413	1.02876254122236	5
FBtr0070034	23.0510023513528	107.228386820457	-2.7295628098099	0.345403835990362	2.76092985012353	640
FBtr0070035	2.54428378536589	9.88511691001091	-2.45680892608305	0.361418045980058	2.26875591628574	59
FBtr0070036	0.627544715982084	2.3456209616975	-2.06167214253966	0.277219484925135	1.54733662629698	14
FBtr0070038	0.0899751258672393	0.502633063220894	-1.48232677287616	0.103930027124722	0.818046616841219	3
FBtr0070042	0.0358729770494477	0.334580252391029	-1.3648222135567	0.0518482795554001	0.677378302756372	2
FBtr0070043	0.0358729770494477	0.334580252391029	-1.3648222135567	0.0518482795554001	0.677378302756372	2
FBtr0070044	0.0358729770494477	0.334580252391029	-1.3648222135567	0.0518482795554001	0.677378302756372	2
FBtr0070045	0.649126961967509	2.3456209616975	-2.03617630203761	0.287128203819143	1.54715669538568	14
FBtr0070046	2.59253288939048	10.2202056188248	-2.46867038168784	0.358465168651549	2.28489769941467	61
FBtr0070056	0.300219033499133	0.335603388424818	-0.31479845844616	0.433649521985907	0.678064623108071	2
FBtr0070057	219.524382786758	90.7807165689131	3.83589714260445	3.88023704247378	2.74867455012079	541
FBtr0070058	1.61690375392087	5.69650804983679	-2.283482694713	0.36515978799537	2.01873852318635	34
FBtr0070059	1.61690375392087	5.69650804983679	-2.283482694713	0.365159787995369	2.01873852318635	34
FBtr0070060	1.61690375392086	5.69650804983679	-2.283482694713	0.36515978799537	2.01873852318635	34
FBtr0070061	1.61690375392087	5.69650804983679	-2.283482694713	0.36515978799537	2.01873852318635	34
FBtr0070062	1.61690375392087	5.69650804983679	-2.283482694713	0.36515978799537	2.01873852318635	34
FBtr0070063	3.16560340729664	11.7281048084875	-2.44485992481416	0.387009138197617	2.33534522854041	70
FBtr0070064	1.02382731423827	6.19914111305769	-2.62356856083026	0.215814707094821	2.06020557298307	37
FBtr0070065	1.02382731423827	6.19914111305769	-2.62356856083026	0.215814707094821	2.06020557298307	37
FBtr0070066	2.3164798671648	6.70177417627858	-2.148217752565	0.457886007526215	2.09753671288741	40
