seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	1528	2057	rna-NR_123964.1	lncRNA:CR45465
ref::NC_004354.4	1722	2262	rna-NR_123965.1	lncRNA:CR45465
ref::NC_004354.4	3000	5684	rna-NM_001258849.2	obst-A
ref::NC_004354.4	3000	6354	rna-NM_134534.3	obst-A
ref::NC_004354.4	7792	11342	rna-NM_078694.3	Peritrophin-A
ref::NC_004354.4	7792	11342	rna-NM_167694.2	Peritrophin-A
ref::NC_004354.4	7792	11348	rna-NM_001258850.2	Peritrophin-A
ref::NC_004354.4	11454	14238	rna-NM_134535.3	CG17068
ref::NC_004354.4	14483	17836	rna-NM_078695.4	Rab10
ref::NC_004354.4	17837	20276	rna-NM_001169334.1	CG17065
ref::NC_004354.4	17837	20276	rna-NM_134536.3	CG17065
ref::NC_004354.4	17837	20344	rna-NM_001298559.1	CG17065
ref::NC_004354.4	22384	22801	rna-NM_001169335.2	CG42577
qry::NC_052526.2	3000	6436	rna-XM_002101839.3	LOC6526058
qry::NC_052526.2	7753	10794	rna-XM_002101840.4	LOC6526059
qry::NC_052526.2	11028	14273	rna-XM_002101841.4	LOC6526060
qry::NC_052526.2	14291	17541	rna-XM_002101842.3	LOC6526061
qry::NC_052526.2	17564	19929	rna-XM_002101843.4	LOC6526062
