seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	2391	2995	rna-NM_001298714.1	CG44574
ref::NT_033779.5	3000	3424	rna-NM_001169421.2	Sfp26Ac
ref::NT_033779.5	3538	4141	rna-NM_001298715.1	CG43185
ref::NT_033779.5	3582	4107	rna-NM_001258972.1	CG43185
ref::NT_033779.5	4652	5259	rna-NM_001298716.1	CG9029
ref::NT_033779.5	4652	5259	rna-NM_135122.3	CG9029
ref::NT_033779.5	5854	6639	rna-NR_124104.1	lncRNA:CR44577
ref::NT_033779.5	6164	6639	rna-NR_124105.1	lncRNA:CR44577
ref::NT_033779.5	6799	7134	rna-NR_124106.1	lncRNA:CR44578
qry::NC_052527.2	1520	4423	rna-XR_005560020.2	LOC120320526
qry::NC_052527.2	3000	3706	rna-XM_002089134.3	LOC6528103
qry::NC_052527.2	4173	4851	rna-XM_015199046.3	LOC26534632
qry::NC_052527.2	4936	5425	rna-XM_015199131.3	LOC26535386
qry::NC_052527.2	4948	5425	rna-XM_015199132.3	LOC26535386
qry::NC_052527.2	5413	6062	rna-XM_015199095.2	LOC26535069
