seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	70001	rna-NM_001103703.2	Fas3
ref::NT_033779.5	3000	72146	rna-NM_001169534.3	Fas3
ref::NT_033779.5	3000	73608	rna-NM_001103704.3	Fas3
ref::NT_033779.5	3000	75809	rna-NM_001299110.1	Fas3
ref::NT_033779.5	3000	76339	rna-NM_001299109.1	Fas3
ref::NT_033779.5	3000	76339	rna-NM_165249.4	Fas3
ref::NT_033779.5	3000	76339	rna-NM_165250.4	Fas3
ref::NT_033779.5	38945	41926	rna-NM_001299111.2	Acp36DE
ref::NT_033779.5	39023	41926	rna-NM_078870.4	Acp36DE
ref::NT_033779.5	61489	62807	rna-NM_001103705.3	CG34171
ref::NT_033779.5	61489	62807	rna-NM_001299112.1	CG34171
qry::NC_052528.2	3000	72230	rna-XM_015196899.2	LOC6529570
qry::NC_052528.2	3000	74997	rna-XM_015196900.2	LOC6529570
qry::NC_052528.2	3001	74435	rna-XM_002090531.4	LOC6529570
qry::NC_052528.2	3002	68991	rna-XM_015196897.2	LOC6529570
qry::NC_052528.2	3003	74089	rna-XM_039373252.2	LOC6529570
qry::NC_052528.2	3003	74514	rna-XM_015196898.3	LOC6529570
qry::NC_052528.2	38775	41036	rna-XM_002090533.4	LOC6529572
qry::NC_052528.2	58825	60144	rna-XR_005560801.2	LOC120321212
qry::NC_052528.2	60625	63506	rna-XM_015197364.3	LOC26534894
qry::NC_052528.2	75414	77118	rna-XR_005560802.1	LOC120321213
