seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	76	rna-NM_137622.3	CG11788
ref::NT_033778.4	0	2849	rna-NM_137623.3	CG9143
ref::NT_033778.4	3000	4543	rna-NM_001299700.1	Mpcp1
ref::NT_033778.4	3000	4871	rna-NM_001299699.1	Mpcp1
ref::NT_033778.4	3000	5061	rna-NM_137624.2	Mpcp1
ref::NT_033778.4	5563	11028	rna-NM_137625.2	CG16868
ref::NT_033778.4	11530	12280	rna-NM_001103910.2	CG34199
ref::NT_033778.4	12305	15879	rna-NM_137626.3	Cpr56F
ref::NT_033778.4	13479	14484	rna-NM_058059.4	CkIIbeta2
ref::NT_033778.4	16479	16929	rna-NR_124650.1	lncRNA:CR44638
ref::NT_033778.4	17829	18629	rna-NR_124651.1	lncRNA:CR44639
qry::NC_052521.2	0	92	rna-XM_016168541.3	LOC6735359
qry::NC_052521.2	0	2895	rna-XM_016181502.3	LOC6735360
qry::NC_052521.2	3000	5073	rna-XM_016181501.3	LOC6735362
qry::NC_052521.2	5566	11056	rna-XM_016181500.3	LOC6735363
qry::NC_052521.2	11459	12329	rna-XM_016168542.3	LOC6735364
qry::NC_052521.2	12345	15870	rna-XM_002082276.4	LOC6735365
qry::NC_052521.2	13534	14442	rna-XM_002082277.4	LOC6735366
