seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	3710	rna-NM_140161.3	Cpr67Fa1
ref::NT_037436.4	4724	5526	rna-NM_140162.2	Cpr67Fa2
ref::NT_037436.4	6656	7753	rna-NR_124863.1	asRNA:CR45171
ref::NT_037436.4	7183	7703	rna-NM_140163.2	Cpr67Fb
ref::NT_037436.4	7786	11583	rna-NM_140164.4	Aps
ref::NT_037436.4	7786	12133	rna-NM_168426.3	Aps
ref::NT_037436.4	8457	12133	rna-NM_168425.3	Aps
qry::NC_052529.2	922	1681	rna-XM_002094300.4	LOC6533629
qry::NC_052529.2	3000	3896	rna-XM_002094301.3	LOC6533630
qry::NC_052529.2	5100	5968	rna-XM_002094302.3	LOC6533631
qry::NC_052529.2	6709	10305	rna-XM_002094303.4	LOC6533632
