seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	12079	rna-NM_001299324.1	CG1648
ref::NT_033778.4	3345	4800	rna-NM_165696.2	CG1648
ref::NT_033778.4	3345	12079	rna-NM_136674.3	CG1648
ref::NT_033778.4	7536	8626	rna-NM_001169631.1	lectin-46Cb
ref::NT_033778.4	9326	10561	rna-NM_144376.2	lectin-46Ca
ref::NT_033778.4	12589	13212	rna-NM_001038848.2	CG34033
ref::NT_033778.4	13194	14981	rna-NM_165697.4	CG30001
ref::NT_033778.4	15108	19232	rna-NM_001144157.3	dila
ref::NT_033778.4	15108	19232	rna-NM_001299325.1	dila
ref::NT_033778.4	15108	19232	rna-NM_136675.3	dila
qry::NC_052521.2	3000	4829	rna-XM_016167155.3	LOC6733764
qry::NC_052521.2	3000	11987	rna-XM_002080772.4	LOC6733764
qry::NC_052521.2	3000	11987	rna-XM_016167154.3	LOC6733764
qry::NC_052521.2	3000	11988	rna-XM_039291353.2	LOC6733764
qry::NC_052521.2	7375	8527	rna-XM_016167734.3	LOC6733765
qry::NC_052521.2	9216	10461	rna-XM_002080774.4	LOC6733766
qry::NC_052521.2	12450	13109	rna-XM_002080775.4	LOC6733767
qry::NC_052521.2	13059	14900	rna-XM_016167153.3	LOC6733768
qry::NC_052521.2	14986	19228	rna-XM_016167151.3	LOC6733769
qry::NC_052521.2	14986	19230	rna-XM_016167152.3	LOC6733769
