seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	174	rna-NM_141453.5	Noc3
ref::NT_033777.3	295	1345	rna-NM_001300277.1	CG10053
ref::NT_033777.3	421	1345	rna-NM_141454.3	CG10053
ref::NT_033777.3	1356	2702	rna-NM_001300278.1	CG1227
ref::NT_033777.3	1356	2943	rna-NM_141455.4	CG1227
ref::NT_033777.3	3000	4955	rna-NM_141456.4	Dtwd2
ref::NT_033777.3	3930	4760	rna-NM_057642.3	Obp84a
ref::NT_033777.3	3930	5162	rna-NM_001104230.3	Obp84a
ref::NT_033777.3	5268	18908	rna-NM_001363924.1	Gld
ref::NT_033777.3	5268	18908	rna-NM_058155.5	Gld
ref::NT_033777.3	16645	17497	rna-NR_125094.1	lncRNA:CR44338
ref::NT_033777.3	19270	24014	rna-NM_058116.5	Syt4
ref::NT_033777.3	24248	25714	gene-Dmel_CR10032	CR10032
ref::NT_033777.3	25822	30684	rna-NM_206456.2	rn
ref::NT_033777.3	25822	55438	rna-NM_001144549.2	rn
ref::NT_033777.3	25822	62834	rna-NM_001275414.2	rn
ref::NT_033777.3	25822	62834	rna-NM_141458.3	rn
qry::NC_052530.2	0	497	rna-XM_039376583.1	LOC6536060
qry::NC_052530.2	0	497	rna-XM_002096634.4	LOC6536060
qry::NC_052530.2	0	497	rna-XM_039376584.1	LOC6536060
qry::NC_052530.2	0	497	rna-XM_015192053.2	LOC6536060
qry::NC_052530.2	0	497	rna-XM_039376585.1	LOC6536060
qry::NC_052530.2	0	497	rna-XM_015192054.3	LOC6536060
qry::NC_052530.2	0	2839	rna-XM_015192056.2	LOC26536143
qry::NC_052530.2	3000	7824	rna-XM_039376587.1	LOC26534532
qry::NC_052530.2	8205	20762	rna-XM_039376586.2	LOC6536063
qry::NC_052530.2	8205	21448	rna-XM_002096637.4	LOC6536063
qry::NC_052530.2	21527	22780	rna-XM_002096638.4	LOC6536064
qry::NC_052530.2	21527	22780	rna-XM_015192059.3	LOC6536064
qry::NC_052530.2	21791	23701	rna-XM_015189422.2	LOC26535123
qry::NC_052530.2	23977	25337	rna-XM_002086721.4	LOC6539873
qry::NC_052530.2	25323	26278	rna-XM_002086720.4	LOC6539874
qry::NC_052530.2	26499	29289	rna-XM_002096642.3	LOC6536068
