seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	626	1244	rna-NR_124273.1	lncRNA:CR44771
ref::NT_033779.5	1769	2201	rna-NR_124274.1	lncRNA:CR44770
ref::NT_033779.5	3000	41577	rna-NM_001299024.1	CG4168
ref::NT_033779.5	3240	41577	rna-NM_135896.6	CG4168
ref::NT_033779.5	42731	43210	rna-NM_001169511.1	Sfp35C
ref::NT_033779.5	42819	43210	rna-NM_001316395.1	Sfp35C
ref::NT_033779.5	43377	44831	rna-NR_047959.1	lncRNA:CR43357
ref::NT_033779.5	43377	45085	rna-NR_124275.1	lncRNA:CR43357
qry::NC_052527.2	1147	2880	rna-XR_005560309.1	LOC120320767
qry::NC_052527.2	3000	3484	rna-XM_015199050.3	LOC26534656
qry::NC_052527.2	3010	3484	rna-XM_015199049.3	LOC26534656
qry::NC_052527.2	4571	42673	rna-XM_002090023.4	LOC6529027
qry::NC_052527.2	4571	42673	rna-XM_015198666.2	LOC6529027
