seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	28372	rna-NM_001274059.1	igl
ref::NT_033778.4	0	28372	rna-NM_057712.5	igl
ref::NT_033778.4	3000	28372	rna-NM_057713.5	igl
ref::NT_033778.4	23238	24032	rna-NM_001259406.2	CG43068
ref::NT_033778.4	30708	31308	rna-NM_001169686.2	Sfp51E
ref::NT_033778.4	32076	32585	rna-NM_001274060.1	CG43829
ref::NT_033778.4	37145	39280	rna-NM_137172.4	GPHR
ref::NT_033778.4	39333	42546	rna-NM_001274061.2	CG11807
ref::NT_033778.4	39333	42546	rna-NM_001274062.2	CG11807
ref::NT_033778.4	39587	42546	rna-NM_137173.5	CG11807
ref::NT_033778.4	40273	41067	rna-NM_001144199.1	CG42391
ref::NT_033778.4	42734	44414	gene-Dmel_CR12953	Ir51a
ref::NT_033778.4	44607	51714	rna-NM_001274063.2	row
ref::NT_033778.4	44607	51714	rna-NM_137175.4	row
qry::NC_052528.2	0	19518	rna-XM_039373230.1	LOC6530487
qry::NC_052528.2	0	19518	rna-XR_006245161.1	LOC6530487
qry::NC_052528.2	0	29341	rna-XM_002091366.4	LOC6530487
qry::NC_052528.2	3000	29341	rna-XM_015197202.3	LOC6530487
qry::NC_052528.2	19666	26107	rna-XM_039373231.1	LOC26535691
qry::NC_052528.2	31609	32263	rna-XM_015197460.3	LOC26535999
qry::NC_052528.2	33383	34108	rna-XM_015197407.2	LOC26535281
qry::NC_052528.2	38296	40415	rna-XM_002091367.4	LOC6530488
qry::NC_052528.2	40741	43659	rna-XM_002091368.4	LOC6530489
qry::NC_052528.2	41377	43659	rna-XM_015197203.3	LOC6530489
qry::NC_052528.2	43806	45877	rna-XM_002091369.3	LOC6530490
qry::NC_052528.2	45848	53012	rna-XM_002091370.3	LOC6530491
