seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	90	1525	rna-NM_132308.2	CG12106
ref::NC_004354.4	942	2606	rna-NM_132309.3	CG12118
ref::NC_004354.4	942	2606	rna-NM_176720.2	CG12118
ref::NC_004354.4	3000	8012	rna-NM_167182.2	su(r)
ref::NC_004354.4	12318	16739	rna-NM_132311.3	SmydA-9
ref::NC_004354.4	12318	17079	rna-NM_001298111.1	SmydA-9
ref::NC_004354.4	21068	21891	rna-NM_167184.2	Obp8a
ref::NC_004354.4	21977	22732	rna-NM_132313.2	CG15368
ref::NC_004354.4	23064	23560	rna-NM_132314.3	CG15369
ref::NC_004354.4	23064	23658	rna-NM_001298112.1	CG15369
ref::NC_004354.4	23847	29449	rna-NM_132315.1	t
ref::NC_004354.4	24190	29449	rna-NM_001298113.1	t
qry::NC_052525.2	54	900	rna-XM_002106491.4	LOC6725514
qry::NC_052525.2	900	2598	rna-XM_016172815.3	LOC6725515
qry::NC_052525.2	900	2599	rna-XM_016172816.2	LOC6725515
qry::NC_052525.2	3000	7934	rna-XM_039296790.2	LOC6725516
qry::NC_052525.2	15763	20088	rna-XM_002106494.4	LOC6725517
qry::NC_052525.2	24331	25213	rna-XM_002106495.4	LOC6725518
qry::NC_052525.2	25274	26020	rna-XM_002106496.4	LOC6725519
qry::NC_052525.2	26357	26864	rna-XM_002106497.3	LOC6725520
qry::NC_052525.2	27988	29890	rna-XM_039296771.1	LOC6725521
qry::NC_052525.2	27988	33185	rna-XM_002106498.4	LOC6725521
