seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	687	1017	rna-NM_001300128.1	Sfp70A4
ref::NT_037436.4	813	1017	rna-NM_001169966.1	Sfp70A4
ref::NT_037436.4	1161	1727	rna-NR_124926.1	lncRNA:CR45253
ref::NT_037436.4	1806	2101	rna-NR_124927.1	lncRNA:CR45255
ref::NT_037436.4	2368	2876	rna-NR_124928.1	lncRNA:CR45254
ref::NT_037436.4	2954	3180	rna-NM_001274869.1	CG42481
ref::NT_037436.4	3000	3180	rna-NM_001169967.2	CG42481
ref::NT_037436.4	3998	4309	rna-NM_001259812.1	CG43147
ref::NT_037436.4	3998	4309	rna-NM_001300129.1	CG43147
ref::NT_037436.4	5792	6079	rna-NM_079333.2	SP
ref::NT_037436.4	6566	6967	rna-NR_073932.2	lncRNA:CR43911
ref::NT_037436.4	6898	7308	rna-NR_124929.1	lncRNA:CR44557
ref::NT_037436.4	7528	8103	rna-NR_124930.1	lncRNA:CR44555
qry::NC_052522.2	916	1119	rna-XM_016183671.3	LOC27208050
qry::NC_052522.2	3000	3213	rna-XM_039293374.2	LOC120284748
qry::NC_052522.2	3828	4149	rna-XM_044922918.1	LOC27207608
qry::NC_052522.2	5603	5922	rna-XM_002084718.4	LOC6737935
qry::NC_052522.2	5829	6992	rna-XR_005543971.2	LOC120284749
