seq_id	start	end	seq_id2	start2	end2
ref::NT_033778.4	6840	8894	qry::NC_052528.2	23127	25246
ref::NT_033778.4	9844	18011	qry::NC_052528.2	15602	21923
ref::NT_033778.4	9844	18011	qry::NC_052528.2	15602	21923
ref::NT_033778.4	3000	6960	qry::NC_052528.2	25230	28330
ref::NT_033778.4	27196	33487	qry::NC_052528.2	3000	9312
ref::NT_033778.4	3989	6960	qry::NC_052528.2	25230	28330
ref::NT_033778.4	9844	18011	qry::NC_052528.2	15602	21923
ref::NT_033778.4	9844	18011	qry::NC_052528.2	15602	21923
ref::NT_033778.4	18537	20840	qry::NC_052528.2	15602	21923
ref::NT_033778.4	18537	20840	qry::NC_052528.2	15602	21923
