seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	512	rna-NM_136932.2	Cpr49Ag
ref::NT_033778.4	943	1724	rna-NM_165897.4	CG30050
ref::NT_033778.4	2068	2685	rna-NM_001032234.2	CG33626
ref::NT_033778.4	3000	3667	rna-NM_001032235.1	CG33627
ref::NT_033778.4	5951	7159	rna-NM_136933.2	Cpr49Ah
ref::NT_033778.4	8033	10220	rna-NM_136934.3	CG13157
ref::NT_033778.4	10786	11384	rna-NM_001316417.1	CG42782
ref::NT_033778.4	11103	11384	rna-NM_001201981.2	CG42782
ref::NT_033778.4	11691	12280	gene-Dmel_CR46027	CR46027
ref::NT_033778.4	12464	14524	rna-NM_136935.2	CG8834
ref::NT_033778.4	14920	17448	rna-NM_136936.5	CG8520
ref::NT_033778.4	15550	17448	rna-NM_001201982.2	CG8520
ref::NT_033778.4	17472	18964	rna-NM_136937.3	Dera
qry::NC_052528.2	0	31	rna-XM_002091017.4	LOC6530107
qry::NC_052528.2	66	1954	rna-XM_002091018.4	LOC6530108
qry::NC_052528.2	3000	5069	rna-XM_002091019.3	LOC6530109
qry::NC_052528.2	5504	9056	gene-LOC6530110	LOC6530110
qry::NC_052528.2	17815	21346	rna-XM_002091021.4	LOC6530111
qry::NC_052528.2	17815	21346	rna-XM_039372538.2	LOC6530111
qry::NC_052528.2	21138	24932	rna-XM_002091022.3	LOC6530112
qry::NC_052528.2	25853	27111	rna-XM_002091023.3	LOC6530113
qry::NC_052528.2	29454	30193	rna-XM_002091024.2	LOC6530114
qry::NC_052528.2	30503	31118	rna-XM_002091025.3	LOC6530115
qry::NC_052528.2	31577	32279	rna-XM_002091026.3	LOC6530116
qry::NC_052528.2	32695	33415	rna-XM_002091027.4	LOC6530117
