seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	4667	rna-NM_001299589.1	Amy-p
ref::NT_033778.4	3073	4667	rna-NM_080421.4	Amy-p
ref::NT_033778.4	5459	9000	rna-NR_124590.1	asRNA:CR45272
ref::NT_033778.4	7262	8601	rna-NM_001043088.2	Spn53F
ref::NT_033778.4	9128	10733	rna-NM_079044.2	Amy-d
ref::NT_033778.4	10774	11387	rna-NM_137347.3	CG15605
ref::NT_033778.4	12844	14698	rna-NM_001299590.1	Cda9
ref::NT_033778.4	13175	14698	rna-NM_137348.4	Cda9
ref::NT_033778.4	15480	15916	rna-NM_001382129.1	CG45273
qry::NC_052528.2	0	218	rna-XM_039372184.2	LOC120321012
qry::NC_052528.2	88	377	rna-XM_039372186.2	LOC120321013
qry::NC_052528.2	3000	5948	rna-XM_002092434.3	LOC6531679
qry::NC_052528.2	6258	6910	rna-XM_002092435.3	LOC6531680
qry::NC_052528.2	6972	8588	rna-XM_002092436.4	LOC6531681
qry::NC_052528.2	9081	10525	rna-XM_002092437.3	LOC6531682
qry::NC_052528.2	13168	14771	rna-XM_039372195.1	LOC6531683
